reliability_status,pass_probability_pct,avg_margin_cw,tim_id,mpn,type,heatsink_model,heatsink_r_th,calculated_tim_r_cw,threshold_limit_cw,max_t_case_99,cost_per_app,k_wmk,thickness_mm,manufacturer,description
PASS,100.0,0.7886,GR-0018,65-00-GREASE30-0010,Grease,ModuleLED_Micro_8560,1.5,0.0366,0.8252,78.38,6.73,3.0,,Parker Chomerics,Thermal Silicone Grease 10cc Syringe
PASS,100.0,0.8032,GR-0019,65-00-GREASE50-0010,Grease,ModuleLED_Micro_8560,1.5,0.0219,0.8252,77.68,7.06,5.0,,Parker Chomerics,Thermal Silicone Grease 10cc Jar
PASS,100.0,0.8095,GR-0020,65-00-GREASE70-0010,Grease,ModuleLED_Micro_8560,1.5,0.0157,0.8252,77.37,7.26,7.0,,Parker Chomerics,Thermal Silicone Grease 10cc Syringe
PASS,100.0,0.8069,GR-0021,65-00-CIP60-0045,Grease,ModuleLED_Micro_8560,1.5,0.0183,0.8252,77.49,1.56,6.0,,Parker Chomerics,"Thermal Silicone Compound, 2 Part 50cc Cartridge"
PASS,100.0,0.7996,GR-0022,TC2-10G,Grease,ModuleLED_Micro_8560,1.5,0.0255,0.8252,77.85,20.65,4.3,,Chip Quik Inc.,Thermal Silicone Compound 10 gram Syringe
PASS,100.0,0.7658,GR-0023,CW7250,Grease,ModuleLED_Micro_8560,1.5,0.0594,0.8252,79.47,62.15,1.85,,Chemtronics,Thermal Non-Silicone Grease 3.4 gram Syringe
PASS,100.0,0.8238,GR-0024,TC4-5G,Grease,ModuleLED_Micro_8560,1.5,0.0014,0.8252,76.68,43.78,79.0,,Chip Quik Inc.,"Thermal Thermal Compound, Liquid Metal 5 gram Syringe"
PASS,100.0,0.8238,GR-0025,TC4-5G,Grease,ModuleLED_Micro_8560,1.5,0.0014,0.8252,76.68,43.9,79.0,,Chip Quik,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 5g/1cc Syringe
PASS,100.0,0.7153,GR-0026,8617-85ML,Grease,ModuleLED_Micro_8560,1.5,0.1098,0.8252,81.93,1.12,1.0,,MG Chemicals,Thermal Non-Silicone Grease 85 ml Tube
PASS,100.0,0.7155,GR-0027,GF1000-00-15-50CC,Grease,ModuleLED_Micro_8560,1.5,0.1097,0.8252,81.92,1.91,1.0,,Bergquist,"Thermal Liquid Gap Filler, 2 Part 50cc Cartridge"
PASS,100.0,0.7887,GR-0028,X-PUTTY-100,Grease,ModuleLED_Micro_8560,1.5,0.0365,0.8252,78.38,2.64,3.0,,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge
PASS,100.0,0.7814,GR-0029,8327GF25-50CC,Grease,ModuleLED_Micro_8560,1.5,0.0438,0.8252,78.74,2.2,2.5,,MG Chemicals,Thermal Silicone Gap Filler 50 ml Cartridges
PASS,100.0,0.7955,GR-0030,65-00-GEL37-0010,Grease,ModuleLED_Micro_8560,1.5,0.0297,0.8252,78.05,11.07,3.7,,Parker Chomerics,Thermal Silicone Gel 10cc Syringe
PASS,100.0,0.7703,GR-0031,PK223DM-110,Grease,ModuleLED_Micro_8560,1.5,0.0549,0.8252,79.27,2.65,2.0,,"Shiu Li Technology Co., Ltd.","Thermal Liquid Gap Filler, 2 Part 110 gram Cartridge"
PASS,100.0,0.7909,GR-0032,SILV5-THERMAL-PASTE,Grease,ModuleLED_Micro_8560,1.5,0.0343,0.8252,78.27,196.47,3.2,,StarTech.com,Thermal Silicone Compound 1.5 gram Syringe
PASS,100.0,0.7938,GR-0033,65-00-GEL35VT-0010,Grease,ModuleLED_Micro_8560,1.5,0.0314,0.8252,78.13,12.11,3.5,,Parker Chomerics,Thermal Silicone Gel 10cc Syringe
PASS,100.0,0.8238,GR-0034,TC4-10G,Grease,ModuleLED_Micro_8560,1.5,0.0014,0.8252,76.68,31.12,79.0,,Chip Quik,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 10g/3cc Syringe
PASS,100.0,0.8238,GR-0035,TC4-10G,Grease,ModuleLED_Micro_8560,1.5,0.0014,0.8252,76.68,32.14,79.0,,Chip Quik Inc.,"Thermal Thermal Compound, Liquid Metal 10 gram Syringe"
PASS,100.0,0.6504,GR-0036,CT40-5,Grease,ModuleLED_Micro_8560,1.5,0.1748,0.8252,85.12,2.28,0.63,,Chemtronics,Thermal Silicone Compound 5 oz Tube
PASS,100.0,0.8008,GR-0037,GF4500CVO-00-240-50CC,Grease,ModuleLED_Micro_8560,1.5,0.0244,0.8252,77.79,2.6,4.5,,Bergquist Company,"Thermal Interface Products Liquid Gap-Filling Material, 2-Part, 4.5W/m-K, 50ml Cartridge, TGF4500CVO"
PASS,100.0,0.764,GR-0038,GF1500-00-60-50CC,Grease,ModuleLED_Micro_8560,1.5,0.0612,0.8252,79.55,2.61,1.8,,Bergquist,"Thermal Liquid Gap Filler, 2 Part 50cc Cartridge"
PASS,100.0,0.7939,GR-0039,S-PUTTY-100,Grease,ModuleLED_Micro_8560,1.5,0.0313,0.8252,78.13,3.53,3.5,,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge
PASS,100.0,0.7938,GR-0040,N-PUTTY-100,Grease,ModuleLED_Micro_8560,1.5,0.0314,0.8252,78.13,3.54,3.5,,"Shiu Li Technology Co., Ltd.",Thermal Non-Silicone Putty 100 gram Cartridge
PASS,100.0,0.8123,GR-0041,TC3-10G,Grease,ModuleLED_Micro_8560,1.5,0.0129,0.8252,77.23,28.56,8.5,,Chip Quik Inc.,Thermal Silicone Compound 5cc Syringe
PASS,100.0,0.7796,GR-0042,65-00-GEL20-0010,Grease,ModuleLED_Micro_8560,1.5,0.0456,0.8252,78.83,14.76,2.4,,Parker Chomerics,Thermal Gel Gap Filler 10cc Syringe
PASS,100.0,0.794,GR-0043,H-PUTTY-100,Grease,ModuleLED_Micro_8560,1.5,0.0312,0.8252,78.12,3.71,3.5,,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge
PASS,100.0,0.8068,GR-0044,127-6-10,Grease,ModuleLED_Micro_8560,1.5,0.0183,0.8252,77.49,15.05,6.0,,Wakefield Thermal Solutions,Thermal Non-Silicone Grease 10cc Syringe
PASS,100.0,0.8069,GR-0045,127-6-10,Grease,ModuleLED_Micro_8560,1.5,0.0183,0.8252,77.5,15.35,6.0,,Wakefield Thermal,"Thermal Interface Products Thermal Grease, High Performance, Non-Silicone, 6 W/m-K, 10cc Syringe"
PASS,100.0,0.7998,GR-0046,TC2-20G,Grease,ModuleLED_Micro_8560,1.5,0.0254,0.8252,77.85,19.26,4.3,,Chip Quik Inc.,Thermal Silicone Compound 20 gram Syringe
PASS,100.0,0.7518,GR-0047,65-02-GREASE15-0030,Grease,ModuleLED_Micro_8560,1.5,0.0734,0.8252,80.15,5.42,1.5,,Parker Chomerics,Thermal Silicone Grease 30cc Cartridge
PASS,100.0,0.7939,GR-0048,65-02-GEL35VT-0030,Grease,ModuleLED_Micro_8560,1.5,0.0313,0.8252,78.13,5.51,3.5,,Parker Chomerics,Thermal Silicone Gel 30cc Syringe
PASS,100.0,0.8032,GR-0049,65-00-GEL50TBL-0010,Grease,ModuleLED_Micro_8560,1.5,0.0219,0.8252,77.67,16.63,5.0,,Parker Chomerics,Thermal Silicone Gel 10cc Syringe
PASS,100.0,0.7983,GR-0050,8327GF41-50CC,Grease,ModuleLED_Micro_8560,1.5,0.0268,0.8252,77.9,3.36,4.1,,MG Chemicals,Thermal Silicone Gap Filler 50 ml Cartridges
PASS,100.0,0.7886,GR-0051,65-02-GREASE30-0030,Grease,ModuleLED_Micro_8560,1.5,0.0366,0.8252,78.38,5.71,3.0,,Parker Chomerics,Thermal Silicone Grease 30cc Cartridge
PASS,100.0,0.5866,GR-0052,8463-7G,Grease,ModuleLED_Micro_8560,1.5,0.2386,0.8252,88.18,62.82,0.46,,MG Chemicals,Thermal Silicone Grease 7 gram Syringe
PASS,100.0,0.7519,GR-0053,GCS-NSP15-100ML,Grease,ModuleLED_Micro_8560,1.5,0.0733,0.8252,80.17,1.78,1.5,,European Thermodynamics Ltd,Thermal Non-Silicone Putty 100 ml Syringe
PASS,100.0,0.8032,GR-0054,65-02-GREASE50-0030,Grease,ModuleLED_Micro_8560,1.5,0.0219,0.8252,77.67,5.99,5.0,,Parker Chomerics,Thermal Silicone Grease 30cc Cartridge
PASS,100.0,0.7886,GR-0055,TGF3000SF-00-1500-50CC,Grease,ModuleLED_Micro_8560,1.5,0.0365,0.8252,78.38,3.67,3.0,,Bergquist Company,"Thermal Interface Products Gap Filler, 2-Part, Sil-Free, Room Temp Cure, 3W/mK, 50ml Cartridge, TGF3000SF"
PASS,100.0,0.8095,GR-0056,65-02-GREASE70-0030,Grease,ModuleLED_Micro_8560,1.5,0.0157,0.8252,77.37,6.16,7.0,,Parker Chomerics,Thermal Silicone Grease 30cc Cartridge
PASS,100.0,0.6615,GR-0057,TC1-200G,Grease,ModuleLED_Micro_8560,1.5,0.1636,0.8252,84.54,2.35,0.67,,Chip Quik Inc.,Thermal Silicone Compound 200 gram Jar
PASS,100.0,0.8115,GR-0058,TG-N8000-30,Grease,ModuleLED_Micro_8560,1.5,0.0137,0.8252,77.28,15.74,8.0,,t-Global Technology,Thermal Non-Silicone Putty 30 gram Jar
PASS,100.0,0.7409,GR-0059,G3380NA-120,Grease,ModuleLED_Micro_8560,1.5,0.0843,0.8252,80.68,3.98,1.3,,"Shiu Li Technology Co., Ltd.",Thermal Non-Silicone Grease 120 gram Cartridge
PASS,100.0,0.7947,GR-0060,GF3500S35-07-60-50CC,Grease,ModuleLED_Micro_8560,1.5,0.0305,0.8252,78.09,3.88,3.6,,Bergquist,"Thermal Liquid Gap Filler, 2 Part 50cc Cartridge"
PASS,100.0,0.7887,GR-0061,TG4040-D-30CC,Grease,ModuleLED_Micro_8560,1.5,0.0365,0.8252,78.38,6.65,3.0,,t-Global Technology,Thermal Silicone Putty 30cc Syringe
PASS,100.0,0.8069,GR-0062,S-PUTTY2-100,Grease,ModuleLED_Micro_8560,1.5,0.0182,0.8252,77.49,5.04,6.0,,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge
PASS,100.0,0.7947,GR-0063,GF3500S35-00-60-50CC,Grease,ModuleLED_Micro_8560,1.5,0.0305,0.8252,78.09,4.06,3.6,,Bergquist,"Thermal Liquid Gap Filler, 2 Part 50cc Cartridge"
PASS,100.0,0.8105,GR-0064,65-00-GEL75VT-0010,Grease,ModuleLED_Micro_8560,1.5,0.0146,0.8252,77.32,20.32,7.5,,Parker Chomerics,Thermal Silicone Gel 10cc Syringe
PASS,100.0,0.8032,GR-0065,65-02-GEL50TBL-0030,Grease,ModuleLED_Micro_8560,1.5,0.0219,0.8252,77.67,6.79,5.0,,Parker Chomerics,Thermal Silicone Gel 30cc Syringe
PASS,100.0,0.7938,GR-0066,GL-20-10,Grease,ModuleLED_Micro_8560,1.5,0.0313,0.8252,78.13,20.5,3.5,,Wakefield Thermal,"Thermal Interface Products ulTIMiFlux Gel, 10cc Syringe, Pink, 20g/m Flow Rate, 0.004"", 3.5w/mK"
PASS,100.0,0.7977,GR-0067,TG-N4000-30CC,Grease,ModuleLED_Micro_8560,1.5,0.0274,0.8252,77.93,6.87,4.0,,t-Global Technology,Thermal Non-Silicone Putty 30cc Syringe
PASS,100.0,0.8049,GR-0068,A18835-01,Grease,ModuleLED_Micro_8560,1.5,0.0203,0.8252,77.59,4.13,5.4,,Laird Technologies - Thermal Materials,Thermal Liquid Gap Filler 50cc Cartridge
PASS,100.0,0.8238,GR-0069,TC4-20G,Grease,ModuleLED_Micro_8560,1.5,0.0014,0.8252,76.68,26.04,79.0,,Chip Quik Inc.,"Thermal Thermal Compound, Liquid Metal 20 gram Syringe"
PASS,100.0,0.8041,GR-0070,65-02-GEL50VT-0030,Grease,ModuleLED_Micro_8560,1.5,0.0211,0.8252,77.63,6.98,5.2,,Parker Chomerics,Thermal Silicone Gel 30cc Syringe
PASS,100.0,0.8069,GR-0071,8327GL6-30ML,Grease,ModuleLED_Micro_8560,1.5,0.0183,0.8252,77.5,7.05,6.0,,MG Chemicals,Thermal Non-Silicone Gel 30 ml Cartridge
PASS,100.0,0.8069,GR-0072,H-PUTTY2-100,Grease,ModuleLED_Micro_8560,1.5,0.0182,0.8252,77.49,5.31,6.0,,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge
PASS,100.0,0.8238,GR-0073,TC4-20G,Grease,ModuleLED_Micro_8560,1.5,0.0014,0.8252,76.68,26.74,79.0,,Chip Quik,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 20g/3cc Syringe
PASS,100.0,0.7794,GR-0074,65-02-GEL20-0030,Grease,ModuleLED_Micro_8560,1.5,0.0457,0.8252,78.82,7.15,2.4,,Parker Chomerics,Thermal Gel Gap Filler 30cc Cartridge
PASS,100.0,0.7887,GR-0075,X-PUTTY-100-KIT,Grease,ModuleLED_Micro_8560,1.5,0.0365,0.8252,78.38,5.61,3.0,,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge
PASS,100.0,0.7957,GR-0076,A17170-01,Grease,ModuleLED_Micro_8560,1.5,0.0295,0.8252,78.04,2.99,3.7,,Laird Technologies - Thermal Materials,Thermal Silicone Compound 75cc Cartridge
PASS,100.0,0.8105,GR-0077,65-00-GEL75-0010,Grease,ModuleLED_Micro_8560,1.5,0.0146,0.8252,77.32,22.96,7.5,,Parker Chomerics,Thermal Silicone Gel 10cc Syringe
PASS,100.0,0.8069,GR-0078,G3380D-100,Grease,ModuleLED_Micro_8560,1.5,0.0183,0.8252,77.49,6.0,6.0,,"Shiu Li Technology Co., Ltd.",Thermal Silicone Grease 100 gram Cartridge
PASS,100.0,0.7753,GR-0079,EPDM20-135,Grease,ModuleLED_Micro_8560,1.5,0.0499,0.8252,79.03,4.81,2.2,,"Shiu Li Technology Co., Ltd.","Thermal Liquid Gap Filler, 2 Part 50 ml Cartridges"
PASS,100.0,0.8032,GR-0080,N-PUTTY2-100,Grease,ModuleLED_Micro_8560,1.5,0.022,0.8252,77.67,6.19,5.0,,"Shiu Li Technology Co., Ltd.",Thermal Non-Silicone Putty 100 gram Cartridge
PASS,100.0,0.8055,GR-0081,CW7100,Grease,ModuleLED_Micro_8560,1.5,0.0197,0.8252,77.56,98.45,5.6,,Chemtronics,Thermal Silicone Grease 6.5 gram Syringe
PASS,100.0,0.7704,GR-0082,PK223DM-110-KIT,Grease,ModuleLED_Micro_8560,1.5,0.0548,0.8252,79.27,5.84,2.0,,"Shiu Li Technology Co., Ltd.","Thermal Liquid Gap Filler, 2 Part 110 gram Cartridge"
PASS,100.0,0.7641,GR-0083,GCS-018-GS-WE-1KG,Grease,ModuleLED_Micro_8560,1.5,0.061,0.8252,79.57,0.64,1.8,,European Thermodynamics Ltd,Thermal Silicone Grease 1 kg Container
PASS,100.0,0.7796,GR-0084,GL-08-10,Grease,ModuleLED_Micro_8560,1.5,0.0456,0.8252,78.82,25.84,2.4,,Wakefield Thermal,"Thermal Interface Products ulTIMiFlux Gel, 10cc Syringe, Yellow, 8g/m Flow Rate, 0.015"", 2.4w/mK"
PASS,100.0,0.7938,GR-0085,S-PUTTY-100-KIT,Grease,ModuleLED_Micro_8560,1.5,0.0314,0.8252,78.12,6.49,3.5,,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge
PASS,100.0,0.7938,GR-0086,N-PUTTY-100-KIT,Grease,ModuleLED_Micro_8560,1.5,0.0313,0.8252,78.13,6.5,3.5,,"Shiu Li Technology Co., Ltd.",Thermal Non-Silicone Putty 100 gram Cartridge
PASS,100.0,0.7947,GR-0087,PK404DM-150,Grease,ModuleLED_Micro_8560,1.5,0.0305,0.8252,78.09,4.42,3.6,,"Shiu Li Technology Co., Ltd.","Thermal Liquid Gap Filler, 2 Part 150 gram Cartridge"
PASS,100.0,0.7939,GR-0088,H-PUTTY-100-KIT,Grease,ModuleLED_Micro_8560,1.5,0.0313,0.8252,78.12,6.68,3.5,,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge
PASS,100.0,0.8105,GR-0089,65-02-GEL75VT-0030,Grease,ModuleLED_Micro_8560,1.5,0.0146,0.8252,77.32,9.06,7.5,,Parker Chomerics,Thermal Silicone Gel 30cc Cartridge
PASS,100.0,0.8008,GR-0090,G3380NC-100,Grease,ModuleLED_Micro_8560,1.5,0.0244,0.8252,77.79,6.81,4.5,,"Shiu Li Technology Co., Ltd.",Thermal Non-Silicone Grease 100 gram Cartridge
PASS,100.0,0.8069,GR-0091,65-00-CIP60-0200,Grease,ModuleLED_Micro_8560,1.5,0.0182,0.8252,77.49,1.42,6.0,,Parker Chomerics,"Thermal Silicone Compound, 2 Part 200cc Cartridge"
PASS,100.0,0.7158,GR-0092,8617-1P,Grease,ModuleLED_Micro_8560,1.5,0.1094,0.8252,81.93,0.61,1.0,,MG Chemicals,Thermal Non-Silicone Grease 473 ml Jar
PASS,100.0,0.7939,GR-0093,2456616,Grease,ModuleLED_Micro_8560,1.5,0.0313,0.8252,78.13,5.82,3.5,,Bergquist,"Thermal Liquid Gap Filler, 2 Part 50cc Cartridge"
PASS,100.0,0.8115,GR-0094,SH-PUTTY3-100,Grease,ModuleLED_Micro_8560,1.5,0.0137,0.8252,77.27,7.53,8.0,,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge
PASS,100.0,0.8106,GR-0095,65-02-GEL75-0030,Grease,ModuleLED_Micro_8560,1.5,0.0146,0.8252,77.32,10.24,7.5,,Parker Chomerics,Thermal Silicone Gel 30cc Syringe
PASS,100.0,0.7774,GR-0096,A16872-02,Grease,ModuleLED_Micro_8560,1.5,0.0477,0.8252,78.92,4.2,2.3,,Laird Technologies - Thermal Materials,Thermal Liquid Gap Filler 75cc Cartridge
PASS,100.0,0.7939,GR-0097,8327GL3-180ML,Grease,ModuleLED_Micro_8560,1.5,0.0313,0.8252,78.13,1.77,3.5,,MG Chemicals,Thermal Non-Silicone Gel 180 ml Cartridge
PASS,100.0,0.8069,GR-0098,S-PUTTY2-100-KIT,Grease,ModuleLED_Micro_8560,1.5,0.0183,0.8252,77.49,8.0,6.0,,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge
PASS,100.0,0.8069,GR-0099,H-PUTTY2-100-KIT,Grease,ModuleLED_Micro_8560,1.5,0.0182,0.8252,77.49,8.27,6.0,,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge
PASS,100.0,0.7407,GR-0100,G3380NA-120-KIT,Grease,ModuleLED_Micro_8560,1.5,0.0845,0.8252,80.69,6.9,1.3,,"Shiu Li Technology Co., Ltd.",Thermal Non-Silicone Grease 120 gram Cartridge
PASS,100.0,0.7884,GR-0101,EPDM30-135,Grease,ModuleLED_Micro_8560,1.5,0.0368,0.8252,78.39,6.93,3.0,,"Shiu Li Technology Co., Ltd.","Thermal Liquid Gap Filler, 2 Part 50 ml Cartridges"
PASS,100.0,0.7701,GR-0102,LF2000-00-00-30CC,Grease,ModuleLED_Micro_8560,1.5,0.055,0.8252,79.27,11.74,2.0,,Bergquist Company,"Thermal Interface Products 1-Part, Liquid Formable Material, 30CC Cartridge, 2 W/m-K, Liqui-Form"
PASS,100.0,0.7977,GR-0103,TG-N4000-55CC,Grease,ModuleLED_Micro_8560,1.5,0.0274,0.8252,77.94,6.41,4.0,,t-Global Technology,Thermal Non-Silicone Putty 55cc Syringe
PASS,100.0,0.7955,GR-0104,A17170-02,Grease,ModuleLED_Micro_8560,1.5,0.0297,0.8252,78.05,1.97,3.7,,Laird Technologies - Thermal Materials,Thermal Silicone Compound 180cc Cartridge
PASS,100.0,0.8095,GR-0105,TG-A7000-55CC,Grease,ModuleLED_Micro_8560,1.5,0.0156,0.8252,77.37,7.09,7.0,,t-Global Technology,Thermal Silicone Putty 50cc Syringe
PASS,100.0,0.7885,GR-0106,GCS-NSP30-100ML,Grease,ModuleLED_Micro_8560,1.5,0.0366,0.8252,78.38,3.55,3.0,,European Thermodynamics Ltd,Thermal Non-Silicone Putty 100 ml Syringe
PASS,100.0,0.8114,GR-0107,TG-N8000-30CC,Grease,ModuleLED_Micro_8560,1.5,0.0137,0.8252,77.27,11.91,8.0,,t-Global Technology,Thermal Non-Silicone Putty 30cc Syringe
PASS,100.0,0.8033,GR-0108,N-PUTTY2-100-KIT,Grease,ModuleLED_Micro_8560,1.5,0.0219,0.8252,77.67,9.15,5.0,,"Shiu Li Technology Co., Ltd.",Thermal Non-Silicone Putty 100 gram Cartridge
PASS,100.0,0.7996,GR-0109,TC2-50G,Grease,ModuleLED_Micro_8560,1.5,0.0256,0.8252,77.85,18.81,4.3,,Chip Quik Inc.,Thermal Silicone Compound 50 gram Jar
PASS,100.0,0.8068,GR-0110,8618-85ML,Grease,ModuleLED_Micro_8560,1.5,0.0183,0.8252,77.5,4.44,6.0,,MG Chemicals,Thermal Non-Silicone Grease 85 ml Syringe
PASS,100.0,0.7753,GR-0111,EPDM20-135-KIT,Grease,ModuleLED_Micro_8560,1.5,0.0498,0.8252,79.02,7.61,2.2,,"Shiu Li Technology Co., Ltd.","Thermal Liquid Gap Filler, 2 Part 50 ml Cartridges"
PASS,100.0,0.8105,GR-0112,GCS-NSP75 - 50ML,Grease,ModuleLED_Micro_8560,1.5,0.0146,0.8252,77.32,7.67,7.5,,European Thermodynamics Ltd,Thermal Non-Silicone Putty 50 ml Syringe
PASS,100.0,0.8069,GR-0113,G3380D-100-KIT,Grease,ModuleLED_Micro_8560,1.5,0.0182,0.8252,77.49,9.69,6.0,,"Shiu Li Technology Co., Ltd.",Thermal Silicone Grease 100 gram Cartridge
PASS,100.0,0.7939,GR-0114,2292097,Grease,ModuleLED_Micro_8560,1.5,0.0313,0.8252,78.13,8.0,3.5,,Bergquist,"Thermal Silicone Compound, 2 Part 50cc Cartridge"
PASS,100.0,0.7948,GR-0115,PK404DM-150-KIT,Grease,ModuleLED_Micro_8560,1.5,0.0304,0.8252,78.08,6.76,3.6,,"Shiu Li Technology Co., Ltd.","Thermal Liquid Gap Filler, 2 Part 150 gram Cartridge"
PASS,100.0,0.8142,GR-0116,S-PUTTY5-100,Grease,ModuleLED_Micro_8560,1.5,0.011,0.8252,77.14,13.64,10.0,,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 30cc Tube
PASS,100.0,0.8007,GR-0117,G3380NC-100-KIT,Grease,ModuleLED_Micro_8560,1.5,0.0245,0.8252,77.8,10.31,4.5,,"Shiu Li Technology Co., Ltd.",Thermal Non-Silicone Grease 100 gram Cartridge
PASS,100.0,0.7704,GR-0118,D2000-140,Grease,ModuleLED_Micro_8560,1.5,0.0548,0.8252,79.26,7.52,2.0,,"Shiu Li Technology Co., Ltd.","Thermal Silicone Grease, 2 Part 140 gram Cartridge"
PASS,100.0,0.8114,GR-0119,SH-PUTTY3-100-KIT,Grease,ModuleLED_Micro_8560,1.5,0.0137,0.8252,77.27,10.68,8.0,,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge
PASS,100.0,0.7938,GR-0120,2167388,Grease,ModuleLED_Micro_8560,1.5,0.0314,0.8252,78.13,8.81,3.5,,Bergquist,"Thermal Silicone Compound, 2 Part 50cc Cartridge"
PASS,100.0,0.808,GR-0121,A17262-01,Grease,ModuleLED_Micro_8560,1.5,0.0171,0.8252,77.44,8.82,6.4,,Laird Technologies - Thermal Materials,Thermal Silicone Gap Filler 50cc Cartridge
PASS,100.0,0.8114,GR-0122,TG-N8000-55CC,Grease,ModuleLED_Micro_8560,1.5,0.0137,0.8252,77.27,8.37,8.0,,t-Global Technology,Thermal Non-Silicone Putty 55cc Syringe
