tim_id,mpn,type,cost_per_app,k_wmk,heatsink_model,threshold_limit_cw,calculated_tim_r_cw,reliability_status,pass_probability_pct,avg_margin_cw,max_t_case_99,manufacturer,description,thickness_mm,log_cost,cluster_id,recommendation_group
GR-0099,8327GF25-50CC,Grease,2.2,2.5,ModuleLED_Micro_8680,1.1252,0.0439,PASS,100.0,1.0812,68.41,MG Chemicals,Thermal Silicone Gap Filler 50 ml Cartridges,,1.1631508098056809,0.0,🏆 Best Value
GR-0100,65-00-GEL37-0010,Grease,11.07,3.7,ModuleLED_Micro_8680,1.1252,0.0295,PASS,100.0,1.0957,67.72,Parker Chomerics,Thermal Silicone Gel 10cc Syringe,,2.4907230351094403,0.0,🏆 Best Value
GR-0102,PK223DM-110,Grease,2.65,2.0,ModuleLED_Micro_8680,1.1252,0.0549,PASS,100.0,1.0703,68.93,"Shiu Li Technology Co., Ltd.","Thermal Liquid Gap Filler, 2 Part 110 gram Cartridge",,1.2947271675944,0.0,🏆 Best Value
GR-0103,SILV5-THERMAL-PASTE,Grease,196.47,3.2,ModuleLED_Micro_8680,1.1252,0.0343,PASS,100.0,1.0909,67.94,StarTech.com,Thermal Silicone Compound 1.5 gram Syringe,,5.285586674069219,1.0,✅ Standard
GR-0106,65-00-GEL35VT-0010,Grease,12.11,3.5,ModuleLED_Micro_8680,1.1252,0.0313,PASS,100.0,1.0938,67.82,Parker Chomerics,Thermal Silicone Gel 10cc Syringe,,2.5733752977756086,0.0,🏆 Best Value
GR-0109,TC4-10G,Grease,31.12,79.0,ModuleLED_Micro_8680,1.1252,0.0014,PASS,100.0,1.1238,66.35,Chip Quik,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 10g/3cc Syringe,,3.469478889078561,0.0,🏆 Best Value
GR-0110,TC4-10G,Grease,32.14,79.0,ModuleLED_Micro_8680,1.1252,0.0014,PASS,100.0,1.1238,66.35,Chip Quik Inc.,"Thermal Thermal Compound, Liquid Metal 10 gram Syringe",,3.500741011998417,0.0,🏆 Best Value
GR-0111,CT40-5,Grease,2.28,0.63,ModuleLED_Micro_8680,1.1252,0.1733,PASS,100.0,0.9518,74.71,Chemtronics,Thermal Silicone Compound 5 oz Tube,,1.1878434223960523,0.0,🏆 Best Value
GR-0113,GF4500CVO-00-240-50CC,Grease,2.6,4.5,ModuleLED_Micro_8680,1.1252,0.0243,PASS,100.0,1.1008,67.47,Bergquist Company,"Thermal Interface Products Liquid Gap-Filling Material, 2-Part, 4.5W/m-K, 50ml Cartridge, TGF4500CVO",,1.2809338454620642,0.0,🏆 Best Value
GR-0115,GF1500-00-60-50CC,Grease,2.61,1.8,ModuleLED_Micro_8680,1.1252,0.0611,PASS,100.0,1.064,69.26,Bergquist,"Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",,1.2837077723447896,0.0,🏆 Best Value
GR-0121,S-PUTTY-100,Grease,3.53,3.5,ModuleLED_Micro_8680,1.1252,0.0313,PASS,100.0,1.0939,67.81,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge,,1.5107219394949427,0.0,🏆 Best Value
GR-0122,N-PUTTY-100,Grease,3.54,3.5,ModuleLED_Micro_8680,1.1252,0.0314,PASS,100.0,1.0937,67.81,"Shiu Li Technology Co., Ltd.",Thermal Non-Silicone Putty 100 gram Cartridge,,1.5129270120532565,0.0,🏆 Best Value
GR-0124,TC3-10G,Grease,28.56,8.5,ModuleLED_Micro_8680,1.1252,0.0129,PASS,100.0,1.1123,66.91,Chip Quik Inc.,Thermal Silicone Compound 5cc Syringe,,3.386422096080001,0.0,🏆 Best Value
GR-0130,65-00-GEL20-0010,Grease,14.76,2.4,ModuleLED_Micro_8680,1.1252,0.0458,PASS,100.0,1.0794,68.51,Parker Chomerics,Thermal Gel Gap Filler 10cc Syringe,,2.757475084429733,0.0,🏆 Best Value
GR-0131,H-PUTTY-100,Grease,3.71,3.5,ModuleLED_Micro_8680,1.1252,0.0313,PASS,100.0,1.0939,67.81,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge,,1.5496879080283263,0.0,🏆 Best Value
GR-0132,127-6-10,Grease,15.05,6.0,ModuleLED_Micro_8680,1.1252,0.0183,PASS,100.0,1.1069,67.17,Wakefield Thermal Solutions,Thermal Non-Silicone Grease 10cc Syringe,,2.775708849576025,0.0,🏆 Best Value
GR-0133,127-6-10,Grease,15.35,6.0,ModuleLED_Micro_8680,1.1252,0.0184,PASS,100.0,1.1068,67.17,Wakefield Thermal,"Thermal Interface Products Thermal Grease, High Performance, Non-Silicone, 6 W/m-K, 10cc Syringe",,2.794227897343262,0.0,🏆 Best Value
GR-0134,TC2-20G,Grease,19.26,4.3,ModuleLED_Micro_8680,1.1252,0.0255,PASS,100.0,1.0997,67.52,Chip Quik Inc.,Thermal Silicone Compound 20 gram Syringe,,3.0086484988205373,0.0,🏆 Best Value
GR-0140,65-02-GREASE15-0030,Grease,5.42,1.5,ModuleLED_Micro_8680,1.1252,0.0729,PASS,100.0,1.0522,69.83,Parker Chomerics,Thermal Silicone Grease 30cc Cartridge,,1.8594181177018698,0.0,🏆 Best Value
GR-0142,65-02-GEL35VT-0030,Grease,5.51,3.5,ModuleLED_Micro_8680,1.1252,0.0314,PASS,100.0,1.0938,67.8,Parker Chomerics,Thermal Silicone Gel 30cc Syringe,,1.873339456220478,0.0,🏆 Best Value
GR-0143,65-00-GEL50TBL-0010,Grease,16.63,5.0,ModuleLED_Micro_8680,1.1252,0.022,PASS,100.0,1.1032,67.35,Parker Chomerics,Thermal Silicone Gel 10cc Syringe,,2.869601996409779,0.0,🏆 Best Value
GR-0144,8327GF41-50CC,Grease,3.36,4.1,ModuleLED_Micro_8680,1.1252,0.0267,PASS,100.0,1.0984,67.58,MG Chemicals,Thermal Silicone Gap Filler 50 ml Cartridges,,1.4724720573609429,0.0,🏆 Best Value
GR-0148,65-02-GREASE30-0030,Grease,5.71,3.0,ModuleLED_Micro_8680,1.1252,0.0366,PASS,100.0,1.0886,68.06,Parker Chomerics,Thermal Silicone Grease 30cc Cartridge,,1.9035989509835904,0.0,🏆 Best Value
GR-0149,8463-7G,Grease,62.82,0.46,ModuleLED_Micro_8680,1.1252,0.2379,PASS,100.0,0.8873,77.89,MG Chemicals,Thermal Silicone Grease 7 gram Syringe,,4.156066620850098,1.0,✅ Standard
GR-0151,GCS-NSP15-100ML,Grease,1.78,1.5,ModuleLED_Micro_8680,1.1252,0.0732,PASS,100.0,1.0519,69.84,European Thermodynamics Ltd,Thermal Non-Silicone Putty 100 ml Syringe,,1.0224509277025458,0.0,🏆 Best Value
GR-0152,65-02-GREASE50-0030,Grease,5.99,5.0,ModuleLED_Micro_8680,1.1252,0.0219,PASS,100.0,1.1032,67.35,Parker Chomerics,Thermal Silicone Grease 30cc Cartridge,,1.944480556245719,0.0,🏆 Best Value
GR-0155,TGF3000SF-00-1500-50CC,Grease,3.67,3.0,ModuleLED_Micro_8680,1.1252,0.0366,PASS,100.0,1.0886,68.06,Bergquist Company,"Thermal Interface Products Gap Filler, 2-Part, Sil-Free, Room Temp Cure, 3W/mK, 50ml Cartridge, TGF3000SF",,1.541159071680806,0.0,🏆 Best Value
GR-0157,65-02-GREASE70-0030,Grease,6.16,7.0,ModuleLED_Micro_8680,1.1252,0.0157,PASS,100.0,1.1095,67.05,Parker Chomerics,Thermal Silicone Grease 30cc Cartridge,,1.9685099809725544,0.0,🏆 Best Value
GR-0160,TC1-200G,Grease,2.35,0.67,ModuleLED_Micro_8680,1.1252,0.1636,PASS,100.0,0.9615,74.23,Chip Quik Inc.,Thermal Silicone Compound 200 gram Jar,,1.208960345836975,0.0,🏆 Best Value
GR-0163,TG-N8000-30,Grease,15.74,8.0,ModuleLED_Micro_8680,1.1252,0.0137,PASS,100.0,1.1115,66.95,t-Global Technology,Thermal Non-Silicone Putty 30 gram Jar,,2.8178010650613294,0.0,🏆 Best Value
GR-0164,G3380NA-120,Grease,3.98,1.3,ModuleLED_Micro_8680,1.1252,0.0845,PASS,100.0,1.0407,70.37,"Shiu Li Technology Co., Ltd.",Thermal Non-Silicone Grease 120 gram Cartridge,,1.6054298910365616,0.0,🏆 Best Value
GR-0165,GF3500S35-07-60-50CC,Grease,3.88,3.6,ModuleLED_Micro_8680,1.1252,0.0305,PASS,100.0,1.0947,67.76,Bergquist,"Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",,1.5851452198650557,0.0,🏆 Best Value
GR-0167,TG4040-D-30CC,Grease,6.65,3.0,ModuleLED_Micro_8680,1.1252,0.0365,PASS,100.0,1.0887,68.06,t-Global Technology,Thermal Silicone Putty 30cc Syringe,,2.0347056478384444,0.0,🏆 Best Value
GR-0168,S-PUTTY2-100,Grease,5.04,6.0,ModuleLED_Micro_8680,1.1252,0.0183,PASS,100.0,1.1069,67.17,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge,,1.7984040119467235,0.0,🏆 Best Value
GR-0169,GF3500S35-00-60-50CC,Grease,4.06,3.6,ModuleLED_Micro_8680,1.1252,0.0304,PASS,100.0,1.0947,67.76,Bergquist,"Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",,1.6213664832993742,0.0,🏆 Best Value
GR-0170,65-00-GEL75VT-0010,Grease,20.32,7.5,ModuleLED_Micro_8680,1.1252,0.0146,PASS,100.0,1.1105,67.0,Parker Chomerics,Thermal Silicone Gel 10cc Syringe,,3.0596455992976437,0.0,🏆 Best Value
GR-0171,65-02-GEL50TBL-0030,Grease,6.79,5.0,ModuleLED_Micro_8680,1.1252,0.0218,PASS,100.0,1.1033,67.35,Parker Chomerics,Thermal Silicone Gel 30cc Syringe,,2.052840859882657,0.0,🏆 Best Value
GR-0172,GL-20-10,Grease,20.5,3.5,ModuleLED_Micro_8680,1.1252,0.0314,PASS,100.0,1.0938,67.81,Wakefield Thermal,"Thermal Interface Products ulTIMiFlux Gel, 10cc Syringe, Pink, 20g/m Flow Rate, 0.004"", 3.5w/mK",,3.068052935133617,0.0,🏆 Best Value
GR-0173,TG-N4000-30CC,Grease,6.87,4.0,ModuleLED_Micro_8680,1.1252,0.0274,PASS,100.0,1.0978,67.61,t-Global Technology,Thermal Non-Silicone Putty 30cc Syringe,,2.063058062429312,0.0,🏆 Best Value
GR-0174,A18835-01,Grease,4.13,5.4,ModuleLED_Micro_8680,1.1252,0.0203,PASS,100.0,1.1049,67.27,Laird Technologies - Thermal Materials,Thermal Liquid Gap Filler 50cc Cartridge,,1.6351056591826783,0.0,🏆 Best Value
GR-0176,TC4-20G,Grease,26.04,79.0,ModuleLED_Micro_8680,1.1252,0.0014,PASS,100.0,1.1238,66.35,Chip Quik Inc.,"Thermal Thermal Compound, Liquid Metal 20 gram Syringe",,3.2973172511747633,0.0,🏆 Best Value
GR-0177,65-02-GEL50VT-0030,Grease,6.98,5.2,ModuleLED_Micro_8680,1.1252,0.0211,PASS,100.0,1.1041,67.31,Parker Chomerics,Thermal Silicone Gel 30cc Syringe,,2.0769384114617173,0.0,🏆 Best Value
GR-0178,8327GL6-30ML,Grease,7.05,6.0,ModuleLED_Micro_8680,1.1252,0.0182,PASS,100.0,1.1069,67.17,MG Chemicals,Thermal Non-Silicone Gel 30 ml Cartridge,,2.085672091430472,0.0,🏆 Best Value
GR-0179,H-PUTTY2-100,Grease,5.31,6.0,ModuleLED_Micro_8680,1.1252,0.0183,PASS,100.0,1.1068,67.17,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge,,1.8421356765531218,0.0,🏆 Best Value
GR-0180,TC4-20G,Grease,26.74,79.0,ModuleLED_Micro_8680,1.1252,0.0014,PASS,100.0,1.1238,66.35,Chip Quik,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 20g/3cc Syringe,,3.3228754148866853,0.0,🏆 Best Value
GR-0181,65-02-GEL20-0030,Grease,7.15,2.4,ModuleLED_Micro_8680,1.1252,0.0458,PASS,100.0,1.0794,68.5,Parker Chomerics,Thermal Gel Gap Filler 30cc Cartridge,,2.0980179272527715,0.0,🏆 Best Value
GR-0183,X-PUTTY-100-KIT,Grease,5.61,3.0,ModuleLED_Micro_8680,1.1252,0.0366,PASS,100.0,1.0886,68.06,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge,,1.888583653863595,0.0,🏆 Best Value
GR-0184,A17170-01,Grease,2.99,3.7,ModuleLED_Micro_8680,1.1252,0.0296,PASS,100.0,1.0956,67.72,Laird Technologies - Thermal Materials,Thermal Silicone Compound 75cc Cartridge,,1.3837912309017721,0.0,🏆 Best Value
GR-0187,65-00-GEL75-0010,Grease,22.96,7.5,ModuleLED_Micro_8680,1.1252,0.0146,PASS,100.0,1.1105,67.0,Parker Chomerics,Thermal Silicone Gel 10cc Syringe,,3.1763857732472487,0.0,🏆 Best Value
GR-0191,G3380D-100,Grease,6.0,6.0,ModuleLED_Micro_8680,1.1252,0.0183,PASS,100.0,1.1069,67.17,"Shiu Li Technology Co., Ltd.",Thermal Silicone Grease 100 gram Cartridge,,1.9459101490553132,0.0,🏆 Best Value
GR-0192,EPDM20-135,Grease,4.81,2.2,ModuleLED_Micro_8680,1.1252,0.0498,PASS,100.0,1.0754,68.69,"Shiu Li Technology Co., Ltd.","Thermal Liquid Gap Filler, 2 Part 50 ml Cartridges",,1.7595805708638197,0.0,🏆 Best Value
GR-0194,N-PUTTY2-100,Grease,6.19,5.0,ModuleLED_Micro_8680,1.1252,0.0219,PASS,100.0,1.1032,67.35,"Shiu Li Technology Co., Ltd.",Thermal Non-Silicone Putty 100 gram Cartridge,,1.9726911717329554,0.0,🏆 Best Value
GR-0196,CW7100,Grease,98.45,5.6,ModuleLED_Micro_8680,1.1252,0.0196,PASS,100.0,1.1056,67.24,Chemtronics,Thermal Silicone Grease 6.5 gram Syringe,,4.599655005299981,1.0,✅ Standard
GR-0197,PK223DM-110-KIT,Grease,5.84,2.0,ModuleLED_Micro_8680,1.1252,0.0548,PASS,100.0,1.0703,68.94,"Shiu Li Technology Co., Ltd.","Thermal Liquid Gap Filler, 2 Part 110 gram Cartridge",,1.922787731634459,0.0,🏆 Best Value
GR-0198,GCS-018-GS-WE-1KG,Grease,0.64,1.8,ModuleLED_Micro_8680,1.1252,0.0611,PASS,100.0,1.064,69.24,European Thermodynamics Ltd,Thermal Silicone Grease 1 kg Container,,0.49469624183610705,0.0,🏆 Best Value
GR-0199,GL-08-10,Grease,25.84,2.4,ModuleLED_Micro_8680,1.1252,0.0458,PASS,100.0,1.0794,68.49,Wakefield Thermal,"Thermal Interface Products ulTIMiFlux Gel, 10cc Syringe, Yellow, 8g/m Flow Rate, 0.015"", 2.4w/mK",,3.289893312103481,0.0,🏆 Best Value
GR-0200,S-PUTTY-100-KIT,Grease,6.49,3.5,ModuleLED_Micro_8680,1.1252,0.0314,PASS,100.0,1.0938,67.8,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge,,2.0135687975291283,0.0,🏆 Best Value
GR-0201,N-PUTTY-100-KIT,Grease,6.5,3.5,ModuleLED_Micro_8680,1.1252,0.0314,PASS,100.0,1.0937,67.81,"Shiu Li Technology Co., Ltd.",Thermal Non-Silicone Putty 100 gram Cartridge,,2.0149030205422647,0.0,🏆 Best Value
GR-0204,PK404DM-150,Grease,4.42,3.6,ModuleLED_Micro_8680,1.1252,0.0305,PASS,100.0,1.0946,67.76,"Shiu Li Technology Co., Ltd.","Thermal Liquid Gap Filler, 2 Part 150 gram Cartridge",,1.6900958154515549,0.0,🏆 Best Value
GR-0205,H-PUTTY-100-KIT,Grease,6.68,3.5,ModuleLED_Micro_8680,1.1252,0.0313,PASS,100.0,1.0938,67.81,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge,,2.038619547159581,0.0,🏆 Best Value
GR-0206,65-02-GEL75VT-0030,Grease,9.06,7.5,ModuleLED_Micro_8680,1.1252,0.0146,PASS,100.0,1.1105,67.0,Parker Chomerics,Thermal Silicone Gel 30cc Cartridge,,2.3085671646715933,0.0,🏆 Best Value
GR-0207,G3380NC-100,Grease,6.81,4.5,ModuleLED_Micro_8680,1.1252,0.0244,PASS,100.0,1.1008,67.47,"Shiu Li Technology Co., Ltd.",Thermal Non-Silicone Grease 100 gram Cartridge,,2.0554049638515948,0.0,🏆 Best Value
GR-0213,65-00-CIP60-0200,Grease,1.42,6.0,ModuleLED_Micro_8680,1.1252,0.0182,PASS,100.0,1.1069,67.17,Parker Chomerics,"Thermal Silicone Compound, 2 Part 200cc Cartridge",,0.883767540168595,0.0,🏆 Best Value
GR-0215,8617-1P,Grease,0.61,1.0,ModuleLED_Micro_8680,1.1252,0.1099,PASS,100.0,1.0153,71.61,MG Chemicals,Thermal Non-Silicone Grease 473 ml Jar,,0.4762341789963716,0.0,🏆 Best Value
GR-0218,2456616,Grease,5.82,3.5,ModuleLED_Micro_8680,1.1252,0.0313,PASS,100.0,1.0939,67.81,Bergquist,"Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",,1.9198594718553708,0.0,🏆 Best Value
GR-0225,SH-PUTTY3-100,Grease,7.53,8.0,ModuleLED_Micro_8680,1.1252,0.0137,PASS,100.0,1.1115,66.95,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge,,2.143589361503588,0.0,🏆 Best Value
GR-0227,65-02-GEL75-0030,Grease,10.24,7.5,ModuleLED_Micro_8680,1.1252,0.0146,PASS,100.0,1.1105,67.0,Parker Chomerics,Thermal Silicone Gel 30cc Syringe,,2.419478844465545,0.0,🏆 Best Value
GR-0230,A16872-02,Grease,4.2,2.3,ModuleLED_Micro_8680,1.1252,0.0478,PASS,100.0,1.0774,68.6,Laird Technologies - Thermal Materials,Thermal Liquid Gap Filler 75cc Cartridge,,1.6486586255873816,0.0,🏆 Best Value
GR-0231,8327GL3-180ML,Grease,1.77,3.5,ModuleLED_Micro_8680,1.1252,0.0314,PASS,100.0,1.0937,67.81,MG Chemicals,Thermal Non-Silicone Gel 180 ml Cartridge,,1.0188473201992472,0.0,🏆 Best Value
GR-0234,S-PUTTY2-100-KIT,Grease,8.0,6.0,ModuleLED_Micro_8680,1.1252,0.0183,PASS,100.0,1.1069,67.18,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge,,2.1972245773362196,0.0,🏆 Best Value
GR-0236,H-PUTTY2-100-KIT,Grease,8.27,6.0,ModuleLED_Micro_8680,1.1252,0.0183,PASS,100.0,1.1069,67.17,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge,,2.2267833795777636,0.0,🏆 Best Value
GR-0237,G3380NA-120-KIT,Grease,6.9,1.3,ModuleLED_Micro_8680,1.1252,0.0847,PASS,100.0,1.0405,70.37,"Shiu Li Technology Co., Ltd.",Thermal Non-Silicone Grease 120 gram Cartridge,,2.066862759472976,0.0,🏆 Best Value
GR-0247,EPDM30-135,Grease,6.93,3.0,ModuleLED_Micro_8680,1.1252,0.0366,PASS,100.0,1.0885,68.06,"Shiu Li Technology Co., Ltd.","Thermal Liquid Gap Filler, 2 Part 50 ml Cartridges",,2.0706530356467567,0.0,🏆 Best Value
GR-0250,LF2000-00-00-30CC,Grease,11.74,2.0,ModuleLED_Micro_8680,1.1252,0.0548,PASS,100.0,1.0704,68.95,Bergquist Company,"Thermal Interface Products 1-Part, Liquid Formable Material, 30CC Cartridge, 2 W/m-K, Liqui-Form",,2.5447466501440172,0.0,🏆 Best Value
GR-0251,TG-N4000-55CC,Grease,6.41,4.0,ModuleLED_Micro_8680,1.1252,0.0273,PASS,100.0,1.0978,67.61,t-Global Technology,Thermal Non-Silicone Putty 55cc Syringe,,2.0028304393079956,0.0,🏆 Best Value
GR-0252,A17170-02,Grease,1.97,3.7,ModuleLED_Micro_8680,1.1252,0.0297,PASS,100.0,1.0955,67.73,Laird Technologies - Thermal Materials,Thermal Silicone Compound 180cc Cartridge,,1.0885619528146082,0.0,🏆 Best Value
GR-0253,TG-A7000-55CC,Grease,7.09,7.0,ModuleLED_Micro_8680,1.1252,0.0157,PASS,100.0,1.1095,67.05,t-Global Technology,Thermal Silicone Putty 50cc Syringe,,2.0906287310704004,0.0,🏆 Best Value
GR-0254,GCS-NSP30-100ML,Grease,3.55,3.0,ModuleLED_Micro_8680,1.1252,0.0366,PASS,100.0,1.0885,68.06,European Thermodynamics Ltd,Thermal Non-Silicone Putty 100 ml Syringe,,1.5151272329628591,0.0,🏆 Best Value
