MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB,source_file
A18443-15,Laird Technologies,Thermal Interface Products,"Thermal Interface Products 18x18IN, Tflex HD7.5,3.75",,,18 mm,18 mm,58289.73,mouser_tim_data.csv
GP2202SF-0.023-01-0918,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, Conductive, Sil-Free, 9""x18"" Sheet, 0.023"" Thickness, 1 Side Tack",,,,,7083.38,mouser_tim_data.csv
GP2202SF-0.100-01-0918,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, Conductive, Sil-Free, 9""x18"" Sheet, 0.100"" Thickness, 1 Side Tack",,,,,8730.15,mouser_tim_data.csv
45766,Vicor,Thermal Interface Products,Thermal Interface Products TIM PAD VIA 4414 UHV,,,,,750.1,mouser_tim_data.csv
A14571-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex 5170 18x18in,,,18 mm,18 mm,16354.65,mouser_tim_data.csv
A16205-19,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HR6190,DC1 18x18in,",,,18 mm,18 mm,19455.15,mouser_tim_data.csv
A16933-14,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tgard 400,A1 11.75"" x 18"",",,,,,897.33,mouser_tim_data.csv
A14949-17,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 5170,DC1 18x18in,",,,18 mm,18 mm,16553.23,mouser_tim_data.csv
A15349-02,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 390H 18x18in,",,,18 mm,18 mm,3871.08,mouser_tim_data.csv
A17931-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex B220FG 18x18IN,,,18 mm,18 mm,575.58,mouser_tim_data.csv
A14949-20,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 5200,DC1 18x18in,",,,18 mm,18 mm,19281.28,mouser_tim_data.csv
A14949-18,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 5180,DC1 18x18in,",,,18 mm,18 mm,17461.93,mouser_tim_data.csv
A14949-14,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 5140,DC1 18x18in,",,,18 mm,18 mm,14002.63,mouser_tim_data.csv
A16205-16,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HR6160,DC1 18x18in,",,,18 mm,18 mm,15646.48,mouser_tim_data.csv
A17932-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex B220FG 9x9IN,,,9 mm,9 mm,155.35,mouser_tim_data.csv
A15356-02,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 3160H 18x18in,",,,18 mm,18 mm,7470.78,mouser_tim_data.csv
A14572-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex 5180 18x18in,,,18 mm,18 mm,17263.68,mouser_tim_data.csv
A15343-02,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 330H 18x18in,",,,18 mm,18 mm,2062.13,mouser_tim_data.csv
A14949-13,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 5130,DC1 18x18in,",,,18 mm,18 mm,13081.9,mouser_tim_data.csv
A14566-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex 5120 18x18in,,,18 mm,18 mm,11959.35,mouser_tim_data.csv
A14565-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex 5110 18x18in,,,18 mm,18 mm,11038.3,mouser_tim_data.csv
A14574-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex 5200 18x18in,,,18 mm,18 mm,19081.4,mouser_tim_data.csv
A16205-13,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HR6130,DC1 18x18in,",,,18 mm,18 mm,13117.98,mouser_tim_data.csv
A17819-03,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HD90750,DC1 18x18IN,",,,18 mm,18 mm,9913.48,mouser_tim_data.csv
A16933-11,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tgard 400,A0 12"",RL,65M",,,,,63669.45,mouser_tim_data.csv
A16933-12,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tgard 400,A0 12"",RL,30M",,,,,29393.0,mouser_tim_data.csv
A14949-12,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 5120,DC1 18x18in,",,,18 mm,18 mm,12160.85,mouser_tim_data.csv
A16205-12,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HR6120,DC1 18x18in,",,,18 mm,18 mm,12973.03,mouser_tim_data.csv
A14949-11,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 5110,DC1 18x18in,",,,18 mm,18 mm,11240.13,mouser_tim_data.csv
A14949-04,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 540,DC1 18x18in,",,,18 mm,18 mm,5027.75,mouser_tim_data.csv
A14949-19,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 5190,DC1 18x18in,",,,18 mm,18 mm,18370.95,mouser_tim_data.csv
A16205-11,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HR6110,DC1 18x18in,",,,18 mm,18 mm,11085.75,mouser_tim_data.csv
A14569-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex 5150 18x18in,,,18 mm,18 mm,14722.5,mouser_tim_data.csv
LOC-Q157604A-00-G9,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 6150,DC1 0.750x0.750in",,,0.750 mm,0.750 mm,123.5,mouser_tim_data.csv
A17237-01,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tgard 110,A0 18.5"" x 18.5""",,,,,1713.4,mouser_tim_data.csv
A14949-15,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 5150,DC1 18x18in,",,,18 mm,18 mm,14923.68,mouser_tim_data.csv
34637,Vicor,Thermal Interface Products,Thermal Interface Products PKG INTER PADS 'B1',,,,,1869.08,mouser_tim_data.csv
A16205-14,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HR6140,DC1 18x18in,",,,18 mm,18 mm,13955.83,mouser_tim_data.csv
A14949-09,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 590,DC1 18x18in,",,,18 mm,18 mm,9467.25,mouser_tim_data.csv
A16205-18,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HR6180,DC1 18x18in,",,,18 mm,18 mm,18418.08,mouser_tim_data.csv
A14949-16,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 5160,DC1 18x18in,",,,18 mm,18 mm,15644.53,mouser_tim_data.csv
A15347-02,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 370H 18x18in,",,,18 mm,18 mm,3016.0,mouser_tim_data.csv
A16934-11,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tgard 400,A1 11.75"",RL,30M",,,,,45748.95,mouser_tim_data.csv
A14567-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex 5130 18x18in,,,18 mm,18 mm,12881.05,mouser_tim_data.csv
A14564-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex 5100 18x18in,,,18 mm,18 mm,10117.58,mouser_tim_data.csv
A15358-02,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 3180H 18x18in,",,,18 mm,18 mm,8748.03,mouser_tim_data.csv
A14949-07,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 570,DC1 18x18in,",,,18 mm,18 mm,7692.43,mouser_tim_data.csv
A14949-08,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 580,DC1 18x18in,",,,18 mm,18 mm,8630.05,mouser_tim_data.csv
A16205-15,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HR6150,DC1 18x18in,",,,18 mm,18 mm,15025.73,mouser_tim_data.csv
A16205-20,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HR6200,DC1 18x18in,",,,18 mm,18 mm,20840.95,mouser_tim_data.csv
A16205-17,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex HR6170,DC1 18x18in,",,,18 mm,18 mm,17379.7,mouser_tim_data.csv
A15350-02,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 3100H 18x18in,",,,18 mm,18 mm,4389.13,mouser_tim_data.csv
A16933-13,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tgard 400,A0 12"" x 18"",",,,,,854.1,mouser_tim_data.csv
A14573-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex 5190 18x18in,,,18 mm,18 mm,18172.05,mouser_tim_data.csv
A14949-05,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 550,DC1 18x18in,",,,18 mm,18 mm,5952.38,mouser_tim_data.csv
GF3500S35-00-60-1200CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Liquid Gap Filler, 1200CC Kit, Gap Filler TGF 3600/3500S35, IDH 2166456",,,,,37560.25,mouser_tim_data.csv
A15357-02,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 3170H 18x18in,",,,18 mm,18 mm,8074.63,mouser_tim_data.csv
A15995-13,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 7130,DC1 18.00x18.00in,",,,18.00 mm,18.00 mm,40938.63,mouser_tim_data.csv
A18144-18,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex RB3180, 18x18IN,",,,18 mm,18 mm,10538.13,mouser_tim_data.csv
A17882-08,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex HD82000 18x18,,,18 mm,18 mm,15245.1,mouser_tim_data.csv
