MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB
175-6-230P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Greaseless Conductive Kapton Reinforced Insulators for TO-220, 0.006"", Grey",,,,,26.46
175-6-250P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Greaseless Conductive Kapton Reinforced Insulators for TO-220, 0.006"", Grey",,,,,26.46
A15423-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tgrease 1500 10cc manual syringe,,,,,1138.73
A14259-11,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tgrease 2500 14kg,1Gal Pail",,,,,87111.36
175-6-410P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Greaseless Conductive Kapton Reinforced Insulators for DO-4/DO-5, 0.006"", Grey",,,,,42.53
TC2-50G,Chip Quik,Thermal Interface Products,Thermal Interface Products Heat Sink Thermal Compound / Grease - Grey Ultra Conductive 50g Jar,,,,,3778.43
A14855-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tgrease 1500 1kg 1.2 W/mK,1.2 W/m-K,,,,4632.71
QII0.0090024/150,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Foil-Format Grease, 0.009"" Thickness, SIL PAD TSPQ2500/Q-Pad II",,,,,98212.59
QII-0.006-00-1212,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Foil-Format Grease, 12""x12"" Sheet, 0.006"" Thickness, SIL PAD TSPQ2500/Q-Pad II",,,,,478.8
A16849-13,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tgrease 300X 360cc,Cartridge",,,300 mm,360 mm,6105.96
TC4-20G,Chip Quik,Thermal Interface Products,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 20g/3cc Syringe,79 W/m-K,,,,2398.1
TC2-20G,Chip Quik,Thermal Interface Products,Thermal Interface Products Heat Sink Thermal Compound / Grease - Grey Ultra Conductive 20g Syringe 10cc,,,,,1636.43
TC1-10G,Chip Quik,Thermal Interface Products,Thermal Interface Products Heat Sink Thermal Compound / Grease - High Density 10g Syringe 5cc,,,,,281.93
TC2-10G,Chip Quik,Thermal Interface Products,"Thermal Interface Products Heat Sink Compound, Grey Ultra Conductive 10g Syringe 5cc",,,,,880.43
HTS02S,Carlo Gavazzi,Thermal Interface Products,Thermal Interface Products 2.38 mL sachet,,,,,523.53
TC3-10G,Chip Quik,Thermal Interface Products,Thermal Interface Products Heat Sink Thermal Compound- Grey Ultra Max Conductive 10G Syringe 5cc,,,,,1195.43
P0200-20,Littelfuse,Thermal Interface Products,Thermal Interface Products COMPOUNDHEATSINK2OZJ AR,,,,,1669.82
TC4-1G,Chip Quik,Thermal Interface Products,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 1g/1cc Syringe,79 W/m-K,,,,366.35
TC3-1G,Chip Quik,Thermal Interface Products,Thermal Interface Products Heat Sink Thermal Compound - Grey Ultra Max Conductive 1g Syringe 1cc,,,,,187.43
TC3-3.5G,Chip Quik,Thermal Interface Products,Thermal Interface Products Heat Sink Thermal Compound - Grey Ultra Max Conductive 3.5g Syringe 3cc,,,,,470.93
TC4-10G,Chip Quik,Thermal Interface Products,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 10g/3cc Syringe,79 W/m-K,,,,1269.77
TC4-2G,Chip Quik,Thermal Interface Products,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 2g/1cc Syringe,79 W/m-K,,,,550.62
TC4-5G,Chip Quik,Thermal Interface Products,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 5g/1cc Syringe,79 W/m-K,,,,705.92
127-12-10,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Grease, Extreme Performance, Non-Silicone, 12 W/m-K, 10cc Syringe",12 W/m-K,,,,4378.19
127-20-10,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Grease, Extreme Performance, Non-Silicone, 20 W/m-K, 10cc Syringe",20 W/m-K,,,,4563.41
QII-0.006-AC-1212,Bergquist Company,Thermal Interface Products,"Thermal Interface Products SIL PAD, Foil-Format Grease, 12""x12"" Sheet, 0.006"" Thickness, 1 Side Adhesive",,,,,590.94
Q3-0.005-00-58,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Grease TI, 0.005"" Thickness, 0.750x0.500x0.187x0.125"", Sil-Pad TSPQ2000/Q-Pad 3",,,0.750 mm,0.500 mm,33.08
Q3-0.005-00-101,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Grease TI, 0.005"" Thickness, 2.50x2.00x0.344x1.812"", Sil-Pad TSPQ2000/Q-Pad 3",,,2.50 mm,2.00 mm,16.38
120-SA,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Silicone Oil-Based Thermal Joint Compound, 4 Gram Plastic Pak",,,,,171.36
Q3-0.005-00-51,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Grease TI, 0.005"" Thickness, Sil-Pad TSPQ2000/Q-Pad 3, IDH 2191307",,,,,9.45
DP-100,Taica,Thermal Interface Products,"Thermal Interface Products Thermal Conductive GEL, 6.5W/mK, 5.0kV/mm, 30ml Syringe, Lamda Gel DP",6.5 W/m-K,,,,4283.37
Q3-0.005-00-67,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Grease TI, 0.005"" Thickness, 1.5x0.9x0.150x1.20"", Sil-Pad TSPQ2000/Q-Pad 3",,,1.5 mm,0.9 mm,25.52
Q3-0.005-00-104,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Grease TI, 0.005"" Thickness, 1.00x0.75x0.300x0.140"", Sil-Pad TSPQ2000/Q-Pad 3",,,1.00 mm,0.75 mm,18.59
175-6-220P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Greaseless Conductive Kapton Reinforced Insulators for TO-220, 0.006"", Grey",,,,,25.83
175-6-240P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Greaseless Conductive Kapton Reinforced Insulators for TO-220, 0.006"", Grey",,,,,23.0
A14855-01,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tgrease 1500 7kg can 1.2 W/mK,1.2 W/m-K,,,,21313.85
175-6-210P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Greaseless Conductive Kapton Reinforced Insulators for TO-220, 0.006"", Grey",,,,,22.05
175-6-310P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Greaseless Conductive Kapton Reinforced Insulators for TO-3, 0.006"", Grey",,,,,33.39
CT40-5,Chemtronics,Chemicals,Chemicals 5 OZ HEATSINK GREASE,,,,,1076.36
TC1-20G,Chip Quik,Thermal Interface Products,Thermal Interface Products Heat Sink Thermal Compound / Grease - High Density 20g Syringe 10cc,,,,,407.93
175-6-330P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Greaseless Conductive Kapton Reinforced Insulators for TO-3, 0.006"", Grey",,,,,29.93
TC1-200G,Chip Quik,Thermal Interface Products,Thermal Interface Products Heat Sink Thermal Compound / Grease - High Density 200g Jar,,,,,1573.43
QII-0.006-00-101,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Foil-Format Grease, 0.006"" Thickness, SIL PAD TSPQ2500/Q-Pad II, IDH 2189103",,,,,19.53
QII-0.006-00-54,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Foil-Format Grease, 0.006"" Thickness, SIL PAD TSPQ2500/Q-Pad II, Q2-54, BG40256",,,,,7.56
Q3-0.005-00-86,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Grease TI, 0.005"" Thickness, 1.56x1.05x0.156"", 4 Leads, Sil-Pad TSPQ2000/Q-Pad 3",,,1.56 mm,1.05 mm,14.18
Q3-0.005-AC-12/250,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Sil-Pad, Grease TI, 0.005"" Thickness, 1 Side Adhesive, 12""x250' Roll",,,,,78851.12
TIC4000-00-00-5CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Thermal Interface Compound for Copper-Based Heat Sinks, 5CC Syringe, TGR 4000",,,,,10918.85
TIC4000-00-00-25CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Thermal Interface Compound for Copper Heat Sink, 25CC Syringe, TGR 4000/4000",,,,,48653.64
QII-0.006-AC-12/250,Bergquist Company,Thermal Interface Products,"Thermal Interface Products SIL PAD, Foil-Format Grease, 0.006"" Thickness, 1 Side Adhesive, 12""x250' Roll",,,,,93399.39
2189478,Bergquist Company,Thermal Interface Products,"Thermal Interface Products High Performance Thermal Interface Compound for Copper-Based Heat Sink, TGR 4000",,,,,2928.56
Q3-0.005-00-12/250,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Grease TI, 0.005"" Thickness, 12""x250' Roll, Sil-Pad TSPQ2000/Q-Pad 3",,,,,58123.49
122-2,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products High Performance Thermal Compound, 2 oz (0.06 kg) Jar",,,,,2784.29
4953G,Aavid,Thermal Interface Products,"Thermal Interface Products Thermalbond Hardener Epoxy, 4 lb Package",,,,,12858.62
26532003,Crouzet,Relay Sockets & Fixings,"Relay Sockets & Fixings SSR Accessory, Thermal Grease",,,,,1536.89
A16850-01,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tgrease 300X 1kg,Can,1quart",,,300 mm,1 mm,6652.49
A16850-03,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tgrease 300X 3kg,Can,1gal",,,300 mm,3 mm,54338.13
TIC4000-00-00-200CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Thermal Interface Compound for Copper Heat Sink, 200CC Syringe, TGR 4000/4000",,,,,188051.22
TIC4000-00-00-600CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Thermal Interface Compound for Copper Heat Sink, 600CC Cartridge, TGR 4000/4000",,,,,433847.61
2947520,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Priming Oil for Liqui-Form TLF Series, Silicone, 100ml Bottle",,,,,4107.6
2746271,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Glass-Reinforced Grease Replacement Thermal Interface, Sil-Pad TSP Q2000/Q-Pad 3",,,,,10.71
2189716,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Foil-Format Grease for Maximum Heat Transfer, Sil-Pad TSP Q2500/Q-Pad II Series",,,,,16630.43
QII-0.006-00-24/150,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Foil-Format Grease, 0.006"" Thickness, 24""x150', IDH 2213683",,,,,98640.36
QII-0.006-00-12/250,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Foil-Format Grease, 0.006"" Thickness, 12""x250' Roll, SIL PAD TSPQ2500/Q-Pad II",,,,,57834.95
2249387,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Foil-Format Grease, 0.006"" Thickness, 1x1.59"", SIL PAD TSPQ2500/Q-Pad II",,,1 mm,1.59 mm,32.76
EGX-MXM-RTX3000 HTS_82x98x5.4mm,ADLINK Technology,Heat Sinks,"Heat Sinks 1.32-20774-1000-A02. EGX MXM RTX3000 80W3. heat spreader, 82x98x5.4mm4. TIM1: GPU Grease 7762, 25x27x0.15mm5. TIM2: PK404,14x40x2.5mm6.TIM3: PK404,5.2x5.2x1.5mm7.TIM4:BS75D,25x6.6x3.75mm8.TIM5:PK404,25x5x2.5mm",,5.4 mm,82 mm,98 mm,3006.19
EGX-MXM-T1000 HTS_82x62.35x4.9mm,ADLINK Technology,Heat Sinks,"Heat Sinks 1.32-20795-1000-A02. EGX MXM-T1000 50W3. heat spreader, 82x62.35x4.9mm4. TIM1: CPU Grease 7762, 17x17x0.15mm5. TIM2:  RS:300, 15x15x1.0mm6.TIM3: RS: 300,6x6x1.5mm",,4.9 mm,82 mm,62.35 mm,2620.48
EGX-MXM-T1000_82x69.82x24.7mm,ADLINK Technology,Heat Sinks,"Heat Sinks 1. 32-20830-0400-A02. nVIDIA GPU T10003. heat sink, 82x69.82x24.7mm4. TIM: CPU Grease 7762, 15x15mm            V-Ram Pad XR-HL 33.0x15.0x1.5mm            MOS pad RS300 6x38x2.0 mm5. Fan: oe55x11.2mm, PWM 4 pin, 12V",,24.7 mm,82 mm,69.82 mm,4333.04
F145-0163,White-Rodgers,Liquid Cooling Connectors & Accessories,Liquid Cooling Connectors & Accessories HEAT TRANSFER COMPOUND PACKING GREASE FOR USE IN IMMERSION WELLS TO IMPROVE THERMAL CONDUCTIVITY/THERMAL RESPONSE,,,,,629.37
F145-0650,White-Rodgers,Liquid Cooling Connectors & Accessories,Liquid Cooling Connectors & Accessories HEAT TRANSFER COMPOUND PACKING GREASE WITH WELL ADAPTOR FOR USE IN IMMERSION WELLS TO IMPROVE THERMAL CONDUCTIVITY/THERMAL RESPONSE,,,,,915.71
253G,Aavid,Thermal Interface Products,"Thermal Interface Products Thermalcote Thermally Loaded Silicone Based Grease, 4.54 kg(10 lb) Can",,,,,10300.5
SILV5-THERMAL-PASTE,StarTech,Thermal Interface Products,Thermal Interface Products 1 5g Metal Oxide Thermal CPU Paste Compound Tube for Heatsin,,,,,1042.02
LF3500-00-00-30CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products 1-Part, Liquid Formable Material, 30CC Cartridge, 3.5 W/m-K, Liqui-Form",3.5 W/m-K,,,,3928.68
LF2000-00-00-30CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products 1-Part, Liquid Formable Material, 30CC Cartridge, 2 W/m-K, Liqui-Form",2 W/m-K,,,,3131.73
TS991AX500T4,Chip Quik,Solder,Solder Thermally Stable Solder Paste NC (No-Clean) Sn63/Pb37 T4 (500g jar),,,,,2360.93
LBSA3505-00-240-50CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Liquid Silicon Adhesive, 1-Part, 50CC Dual Cartridge, LIQUI-BOND TLBSA3500",,,,,4089.33
WS430SNL500T4C,Chip Quik,Solder,Solder Solder Paste Sn96.5/Ag3.0/Cu0.5 T4 88.5% Water-Washable No-Clean 500g Cartridge Thermally Stable,,,,,3342.15
TS991AX500T4C,Chip Quik,Solder,Solder Solder Paste Sn63/Pb37 T4 90% No-Clean 500g Cartridge Thermally Stable,,,,,2355.89
WS430AX500T4C,Chip Quik,Solder,Solder Solder Paste Sn63/Pb37 T4 89.75% Water-Washable No-Clean 500g Cartridge Thermally Stable,,,,,2359.04
TLF6000HG-00-00-150CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Conductive, 1-Part, Liquid Formable, 180ml Cartridge, 6 W/m-K, Liqui-Form",6 W/m-K,,,,4947.39
WS430LT500T4C,Chip Quik,Solder,Solder Solder Paste Sn42/Bi57.6/Ag0.4 T4 89.75% Water-Washable No-Clean 500g Cartridge Thermally Stable,,,,,2507.09
TS391AX,Chip Quik,Solder,Solder Paste No-Clean 15g Sn63/Pb37 T4,,,,,502.43
TS391AX50,Chip Quik,Solder,Solder Paste No-Clean 50g Sn63/Pb37 T4,,,,,439.43
TS391SNL,Chip Quik,Solder,Solder Paste NoClean 15g T4 Sn96.5/Ag3.0/Cu0.5,,,,,533.93
TS391AX10,Chip Quik,Solder,Solder Paste No-Clean 35g Sn63/Pb37 T4,,,,,848.93
TS391SNL250,Chip Quik,Solder,Solder Paste NoCln 250g T4 Sn96.5/Ag3.0/Cu0.5,,,,,2203.43
TS391LT50,Chip Quik,Solder,Solder Paste No-Clean 50g Sn42/Bi57.6/Ag0.4 T4,,,,,691.43
TS391SNL50,Chip Quik,Solder,Solder Paste NoClean 50g T4 Sn96.5/Ag3.0/Cu0.5,,,,,565.43
TS391LT250,Chip Quik,Solder,Solder Paste NoClean 250g Sn42/Bi57.6/Ag0.4 T4,,,,,2675.93
TS391SNL10,Chip Quik,Solder,Solder Paste NoClean 35g T4 Sn96.5/Ag3.0/Cu0.5,,,,,1006.43
TS391LT,Chip Quik,Solder,Solder Paste NoClean 15g Sn42/Bi57.6/Ag0.4 T4,,,,,533.93
TS391AX250,Chip Quik,Solder,Solder Paste No-Clean 250g Sn63/Pb37 T4,,,,,1730.93
TS391AX500C,Chip Quik,Solder,Solder Paste No-Clean 500g Sn63/Pb37 T4,,,,,2927.93
TS391LT10,Chip Quik,Solder,Solder Paste NoClean 35g Sn42/Bi57.6/Ag0.4 T4,,,,,911.93
TS991LT500T4C,Chip Quik,Solder,Solder Solder Paste Sn42/Bi57.6/Ag0.4 T4 90% No-Clean 500g Cartridge Thermally Stable,,,,,2503.94
TS991SNL500T3,Chip Quik,Solder,Solder Thermally Stable Solder Paste NC (No-Clean) Sn96.5/Ag3.0/Cu0.5 T3 (500g jar),,,,,3232.85
TS991SNL35T3,Chip Quik,Solder,Solder Thermally Stable Solder Paste NC (No-Clean) Sn96.5/Ag3.0/Cu0.5 T3 (35g syringe),,,,,1373.72
WS991SNL500T4,Chip Quik,Solder,Solder Thermally Stable Solder Paste WS (Water-Soluble) Sn96.5/Ag3.0/Cu0.5 T4 (500g jar,,,,,3303.72
TS991SNL35T4,Chip Quik,Solder,Solder Thermally Stable Solder Paste NC (No-Clean) Sn96.5/Ag3.0/Cu0.5 T4 (35g syringe),,,,,1415.3
TS991AX35T4,Chip Quik,Solder,Solder Thermally Stable Solder Paste NC (No-Clean) Sn63/Pb37 T4 (35g syringe),,,,,1225.35
LBSA3505-07-240-50CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Liquid Silicon Adhesive, 1-Part, 50CC Dual Cartridge, LIQUI-BOND TLBSA3500",,,,,4478.36
TSE3941-150G,MG Chemicals,Thermal Interface Products,Thermal Interface Products TOSHIBA SILICONE 150G ADHESIVE-SEALAN,,,,,2841.93
TS991SNL500T4C,Chip Quik,Solder,Solder Solder Paste Sn96.5/Ag3.0/Cu0.5 T4 88.5% No-Clean 500g Cartridge Thermally Stable,,,,,3337.74
WS991SNL35T4,Chip Quik,Solder,Solder Thermally Stable Solder Paste WS (Water-Soluble) Sn96.5/Ag3.0/Cu0.5 T4 (35g syri,,,,,880.43
LBEA1805-07-30-50CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Liquid Epoxy Adhesive, 2-Part, 50CC Dual Cartridge, Liqui-Bond TLBEA1800/EA 1805",,,,,3765.2
LBEA1805-10-30-50CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Liquid Epoxy Adhesive, 2-Part, 50CC Dual Cartridge, Liqui-Bond TLBEA1800/EA 1805",,,,,4566.56
TLB400SLT-00-00-1200cc,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Silicon Adhesive Sealant, Adaptable Cure Profile, 1200CC Kit, Liqui-Bond",,,,,29084.58
LBEA1805-00-30-400CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Liquid Epoxy Adhesive, 2-Part, 400CC Dual Cartridge, Liqui-Bond TLBEA1800/EA1805",,,,,21567.74
TLB400SLT-00-00-400cc,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Silicon Adhesive Sealant, 400CC Cartridge, Liqui-Bond TLB400SLT",,,,,12398.72
LF3500-00-00-4.33G,Bergquist Company,Thermal Interface Products,"Thermal Interface Products 1-Part, Liquid Formable Material, 4.33 Gallon Pail, 3.5 W/m-K, Liqui-Form",3.5 W/m-K,,,,309155.49
LBEA1805-07-30-1200CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Liquid Epoxy Adhesive, 2-Part, 1200CC Kit, Liqui-Bond TLB EA1800/EA 1805",,,,,52177.55
TLB400SLT-00-00-10G,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Silicon Adhesive Sealant, 10 Gallon Kit, Liqui-Bond TLB400SLT",,,,,235688.67
LBEA1805-10-30-1200CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Liquid Epoxy Adhesive, 2-Part, 1200CC Kit, Liqui-Bond TLB EA1800/EA 1805",,,,,52177.55
LBSA3505-07-240-1200CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Liquid Silicon Adhesive, 1-Part, 1200CC Kit, Liqui-Bond TLB SA3500/SA3505",,,,,65832.48
LBSA3505-10-240-1200CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Liquid Silicon Adhesive, 1-Part, 1200CC Kit, Liqui-Bond TLB SA3500/SA3505",,,,,65832.48
LBSA3505-00-240-1200CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Liquid Silicon Adhesive, 1-Part, 1200CC Kit, Liqui-Bond TLB SA3500/SA3505",,,,,57245.27
LBSA3505-00-240-200CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Liquid Silicon Adhesive, 1-Part, 200CC Cartridge, Liqui-Bond TLB SA3500/SA3505",,,,,10576.13
TS391LT500C,Chip Quik,Solder,Solder Paste No-Clean 500g Sn42/Bi57.6/Ag0.4 T4,,,,,4754.93
TLF6000HG-00-00-0.7G,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Conductive, 1-Part, Liquid Formable, 1 Gallon Pail, 6 W/m-K, Liqui-Form",6 W/m-K,,,,52541.06
LBEA1805-00-30-200CC,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Liquid Epoxy Adhesive, 2-Part, 200CC Dual Cartridge, Liqui-Bond TLBEA1800/EA1805",,,,,9678.06
TS391SNL500C,Chip Quik,Solder,Solder Paste NoCln 500g T4 Sn96.5/Ag3.0/Cu0.5,,,,,3778.43
2580287,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Conductive, 1-Part, Liquid Formable, 1 Gallon, 6.0 W/m-K, Liqui-Form TLF 6000HG",6.0 W/m-K,,,,88529.81
TS991SNL500T4,Chip Quik,Solder,Solder Thermally Stable Solder Paste NC (No-Clean) Sn96.5/Ag3.0/Cu0.5 T4 (500g jar),,,,,3299.31
WS991LT500T4C,Chip Quik,Solder,Solder Thermally Stable Solder Paste WS (Water-Soluble) Sn42/Bi57.6/Ag0.4 T4 (500g cartridge),,,,,2840.99
WS991LT35T4,Chip Quik,Solder,Solder Thermally Stable Solder Paste WS (Water-Soluble) Sn42/Bi57.6/Ag0.4 T4 (35g syrin,,,,,1040.45
WS991LT500T4,Chip Quik,Solder,Solder Thermally Stable Solder Paste WS (Water-Soluble) Sn42/Bi57.6/Ag0.4 T4 (500g jar),,,,,2897.37
WS991AX500T4,Chip Quik,Solder,Solder Thermally Stable Solder Paste WS (Water-Soluble) Sn63/Pb37 T4 (500g jar),,,,,2360.93
WS991AX35T4,Chip Quik,Solder,Solder Thermally Stable Solder Paste WS (Water-Soluble) Sn63/Pb37 T4 (35g syringe),,,,,1214.64
PADLED-225100,Wakefield Thermal,LED Heat Sinks & Thermal Substrates,"LED Heat Sinks & Thermal Substrates Heat Sink, PAD LED, 225mm Diameter, 100mm Height",,225 mm,,,6296.85
PADLED-130100,Wakefield Thermal,LED Heat Sinks & Thermal Substrates,"LED Heat Sinks & Thermal Substrates Heat Sink, PAD LED, 130mm Diameter, 100mm Height",,130 mm,,,1839.6
PADLED-13080,Wakefield Thermal,LED Heat Sinks & Thermal Substrates,"LED Heat Sinks & Thermal Substrates Heat Sink, PAD LED, 130mm Diameter, 80mm Height",,130 mm,,,1826.69
53-77-13ACG,Aavid,Thermal Interface Products,"Thermal Interface Products Thermalsil III Pad for TO220, Sil Rubber, 18.03x12.70x 0.152mm, Adhesive-1 Side",,0.152 mm,18.03 mm,12.70 mm,28.98
SQDB-02PADM-BNA001,Amphenol LTW,Liquid Cooling Connectors & Accessories,"Liquid Cooling Connectors & Accessories Liquid Cooling Connector, SnapQDB02 (Blind Mating), Plug, 7/16 inch - 20 UNF, Push Pull",,,,,1176.21
SQD02-SBBN-PADM-RD001,Amphenol LTW,Liquid Cooling Connectors & Accessories,"Liquid Cooling Connectors & Accessories Liquid Cooling Connector, SnapQD02, Pair, Red, 7/16 inch - 20 UNF, Push Pull",,,,,1990.8
SQD02-SBBN-PADM-BE001,Amphenol LTW,Liquid Cooling Connectors & Accessories,"Liquid Cooling Connectors & Accessories Liquid Cooling Connector, SnapQD02, Pair, Blue, 7/16 inch - 20 UNF, Push Pull",,,,,2094.75
SQD-02PADM-PBE001,Amphenol LTW,Liquid Cooling Connectors & Accessories,"Liquid Cooling Connectors & Accessories Liquid Cooling Connector, SnapQD02, Plug, Blue, 7/16 inch - 20 UNF, Push Pull",,,,,695.52
SQD-02PADM-PRD001,Amphenol LTW,Liquid Cooling Connectors & Accessories,"Liquid Cooling Connectors & Accessories Liquid Cooling Connector, SnapQD02, Plug, Red, 7/16 inch - 20 UNF, Push Pull",,,,,757.58
53-02-103G,Aavid,Thermal Interface Products,"Thermal Interface Products Thermalsil III Pad for TO218, Polygon, 5-Side, 23.80x19.05x 0.152mm, Sil Rubber",,0.152 mm,23.80 mm,19.05 mm,31.19
PADLED-16580,Wakefield Thermal,LED Heat Sinks & Thermal Substrates,"LED Heat Sinks & Thermal Substrates Heat Sink, PAD LED, 165mm Diameter, 80mm Height",,165 mm,,,3293.64
