MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB
GP1000SF-0.020-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Green 406.40mm x 203.20mm Rectangular Tacky - Both Sides,0.9W/m-K,"0.0200"" (0.508mm)",,,1744.79
A18238-02,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 229.00mm x 229.00mm Square Tacky - One Side,10W/m-K,"0.0200"" (0.508mm)",,,1769.36
EYG-S182307DP,Panasonic Electronic Components,"Fans, Blowers, Thermal Management",Thermal Pad Gray 230.00mm x 180.00mm Rectangular,-,"0.0028"" (0.070mm)",,,1776.29
EYG-S1431ZLAA,Panasonic Electronic Components,"Fans, Blowers, Thermal Management",Thermal Pad Gray 308.00mm x 140.00mm Rectangular,-,"0.0079"" (0.200mm)",,,1787.31
TG-A1660-125-125-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 125.00mm x 125.00mm Square,16.6W/m-K,"0.020"" (0.50mm)",,,1787.63
EYG-S182310,Panasonic Electronic Components,"Fans, Blowers, Thermal Management",Thermal Pad Gray 230.00mm x 180.00mm Rectangular,-,"0.0039"" (0.100mm)",,,1791.09
A14692-31,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Amber 457.20mm x 279.40mm Rectangular,-,"0.0030"" (0.076mm)",,,1832.36
62-02-0909-A579,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square Adhesive - One Side,3.0W/m-K,"0.0200"" (0.508mm)",,,1861.34
20264,Vicor Corporation,Power Supplies - Board Mount,THERMMATE MINI 10PK,,,,,1879.92
TG-A1250-150-150-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 150.00mm x 150.00mm Square,12.5W/m-K,"0.0394"" (1.000mm)",,,1880.55
GPVOUS-0.100-01-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 406.40mm x 203.20mm Rectangular Tacky - One Side,1.0W/m-K,"0.100"" (2.54mm)",,,1895.67
5516-10,3M,"Fans, Blowers, Thermal Management",Thermal Pad Gray 320.00mm x 230.00mm Rectangular Tacky - Both Sides,3.1W/m-K,"0.0390"" (0.991mm)",,,1898.51
GP5000S35-0.020-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Green 406.40mm x 203.20mm Rectangular Tacky - Both Sides,5.0W/m-K,"0.0200"" (0.508mm)",,,1914.57
COH-3114LVC-200-10,Taica North America Corporation,"Fans, Blowers, Thermal Management",Thermal Pad Gray 200.00mm x 200.00mm Square Tacky - Both Sides,3.1W/m-K,"0.0390"" (0.991mm)",,,1917.72
A17653-05,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square Tacky - Both Sides,5.0W/m-K,"0.0500"" (1.270mm)",,,1947.33
GPHC3.0-0.020-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Blue 406.40mm x 203.20mm Rectangular Tacky - Both Sides,3.0W/m-K,"0.0200"" (0.508mm)",,,1962.14
TG-A1250LC-135-135-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 135.00mm x 135.00mm Square Tacky - One Side,10W/m-K,"0.0394"" (1.000mm)",,,1990.8
TG-A1250-100-100-2.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 100.00mm x 100.00mm Square,12.5W/m-K,"0.0984"" (2.500mm)",,,2049.08
A18171-05,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 457.20mm x 457.20mm Square Tacky - Both Sides,7.5W/m-K,"0.0049"" (0.125mm)",,,2064.83
61-04-0909-G579,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square,3.0W/m-K,"0.0400"" (1.016mm)",,,2087.82
A14412-01,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Blue-Violet 228.60mm x 228.60mm Square Tacky - One Side,3.0W/m-K,"0.0400"" (1.016mm)",,,2094.12
8810-0.75-5,3M (TC),"Fans, Blowers, Thermal Management",Thermal Pad White 4.57m x 19.05mm Rectangular Adhesive - Both Sides,0.6W/m-K,"0.0098"" (0.250mm)",,,2098.53
2166063,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 406.40mm x 203.20mm Rectangular Adhesive - One Side,1.0W/m-K,"0.125"" (3.18mm)",,,2113.65
2191193,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 406.40mm x 203.20mm Rectangular Tacky - One Side,1.0W/m-K,"0.125"" (3.18mm)",,,2113.65
TG-A6200-310-310-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 310.00mm x 310.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0197"" (0.500mm)",,,2123.42
8805-0.5-5,3M (TC),"Fans, Blowers, Thermal Management",Thermal Pad White 4.57m x 12.70mm Rectangular Adhesive - Both Sides,0.6W/m-K,"0.0049"" (0.125mm)",,,2222.96
A10080-01,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Blue 203.20mm x 203.20mm Square,6.0W/m-K,"0.0200"" (0.508mm)",,,2268.95
PL-1-12-76X127-75,Wakefield Thermal Solutions,"Fans, Blowers, Thermal Management",Thermal Pad Gray 127.00mm x 76.20mm Rectangular Tacky - One Side,12W/m-K,"0.0394"" (1.000mm)",,,2329.74
20263,Vicor Corporation,Power Supplies - Board Mount,THERM PAD FOR MAXI 1=10,,,,,2363.13
62-04-0909-A579,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square Adhesive - One Side,3.0W/m-K,"0.0400"" (1.016mm)",,,2375.42
5519 210 MM X 155 MM X 2.0 MM,3M,"Fans, Blowers, Thermal Management",Thermal Pad Gray 210.00mm x 155.00mm Rectangular Tacky - Both Sides,4.9W/m-K,"0.0790"" (2.000mm)",,,2395.89
A15896-02,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,5.0W/m-K,"0.0200"" (0.508mm)",,,2422.98
GPHC5.0-0.020-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 406.40mm x 203.20mm Rectangular Tacky - Both Sides,5.0W/m-K,"0.0200"" (0.508mm)",,,2440.62
8810-1-5,3M (TC),"Fans, Blowers, Thermal Management",Thermal Pad White 4.57m x 25.40mm Rectangular Adhesive - Both Sides,0.6W/m-K,"0.0098"" (0.250mm)",,,2467.4
A16367-04,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 215.90mm Rectangular Tacky - One Side,3.0W/m-K,"0.0400"" (1.016mm)",,,2468.34
A17690-06,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square Tacky - One Side,5.0W/m-K,"0.0600"" (1.524mm)",,,2480.63
A17653-07,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square Tacky - Both Sides,5.0W/m-K,"0.0700"" (1.778mm)",,,2589.93
TG-A1250-150-150-1.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 150.00mm x 150.00mm Square,12.5W/m-K,"0.0591"" (1.500mm)",,,2737.67
PLX-1-12-76X127-58,Wakefield Thermal Solutions,"Fans, Blowers, Thermal Management",Thermal Pad Gray 127.00mm x 76.00mm Rectangular Tacky - Both Sides,12W/m-K,"0.0390"" (0.991mm)",,,2815.16
GPTGP7000ULM-0.040-02-0808,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 203.20mm x 203.20mm Square Tacky - Both Sides,7.0W/m-K,"0.0400"" (1.016mm)",,,2879.73
TG-A1780-125-125-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 125.00mm x 125.00mm Square,18W/m-K,"0.0197"" (0.500mm)",,,2926.67
A12620-34,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Blue-Violet 228.60mm x 228.60mm Square Tacky - One Side,3.0W/m-K,"0.0600"" (1.524mm)",,,2949.35
A17883-04,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Teal 228.60mm x 228.60mm Square,6.0W/m-K,"0.0400"" (1.016mm)",,,3002.9
A12620-01,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Blue-Violet 228.60mm x 228.60mm Square Tacky - Both Sides,3.0W/m-K,"0.0600"" (1.524mm)",,,3040.7
61-04-1015-PAD60,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Green 381.00mm x 254.00mm Rectangular,6.0W/m-K,"0.0400"" (1.016mm)",,,3067.16
GPHC5.0-0.060-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 406.40mm x 203.20mm Rectangular Tacky - Both Sides,5.0W/m-K,"0.0600"" (1.524mm)",,,3153.78
TG-A1450-100-100-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Red 100.00mm x 100.00mm Square,14.5W/m-K,"0.0790"" (2.000mm)",,,3163.23
EYG-S131810,Panasonic Electronic Components,"Fans, Blowers, Thermal Management",Thermal Pad Gray 180.00mm x 125.00mm Rectangular,-,"0.0039"" (0.100mm)",,,3216.47
TG-A6200-310-310-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 310.00mm x 310.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0394"" (1.000mm)",,,3334.28
A18213-04,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 229.00mm x 229.00mm Square,10W/m-K,"0.0394"" (1.000mm)",,,3385.31
61-06-0909-G579,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square,3.0W/m-K,"0.0600"" (1.524mm)",,,3498.71
TG-A1450-150-150-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Red 150.00mm x 150.00mm Square,14.5W/m-K,"0.0394"" (1.000mm)",,,3550.05
TG-A1250-150-150-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 150.00mm x 150.00mm Square,12.5W/m-K,"0.0790"" (2.000mm)",,,3577.14
61-02-1015-PAD80G,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Dark Gray 381.00mm x 254.00mm Rectangular,8.3W/m-K,"0.0200"" (0.508mm)",,,3657.47
A17883-06,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Teal 228.60mm x 228.60mm Square,6.0W/m-K,"0.0600"" (1.524mm)",,,3727.4
62-06-0909-A579,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square Adhesive - One Side,3.0W/m-K,"0.0600"" (1.524mm)",,,3809.61
A12622-01,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Blue-Violet 228.60mm x 228.60mm Square Tacky - Both Sides,3.0W/m-K,"0.0800"" (2.032mm)",,,3932.46
2190540,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Light Green Rectangular,5.0W/m-K,,,,4028.22
61-08-0909-G579,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square,3.0W/m-K,"0.0800"" (2.032mm)",,,4218.17
A17752-04,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,7.5W/m-K,"0.0400"" (1.016mm)",,,4418.51
A12624-01,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Blue-Violet 228.60mm x 228.60mm Square Tacky - Both Sides,3.0W/m-K,"0.100"" (2.54mm)",,,4531.59
403012050,Würth Elektronik,"Fans, Blowers, Thermal Management",Thermal Pad 25.00m x 50.00mm Rectangular Acrylic,1.0W/m-K,"0.0079"" (0.200mm)",,,4540.1
8810-2-5,3M (TC),"Fans, Blowers, Thermal Management",Thermal Pad White 4.57m x 50.80mm Rectangular Adhesive - Both Sides,0.6W/m-K,"0.0098"" (0.250mm)",,,4582.31
A18444-04,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square,7.5W/m-K,"0.0400"" (1.016mm)",,,4610.97
TG-A1450-250-250-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Red 250.00mm x 250.00mm Square,14.5W/m-K,"0.0197"" (0.500mm)",,,4847.22
62-10-0808-T500,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Green 203.20mm x 203.20mm Rectangular,2.1W/m-K,"0.0100"" (0.254mm)",,,4861.4
61-10-0808-T500,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Green 203.20mm x 203.20mm Square,2.1W/m-K,"0.0100"" (0.254mm)",,,4902.03
61-06-1015-PAD80G,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Dark Gray 381.00mm x 254.00mm Rectangular,8.3W/m-K,"0.0600"" (1.524mm)",,,4908.02
62-10-0909-A579,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square Adhesive - One Side,3.0W/m-K,"0.100"" (2.54mm)",,,5007.56
SPA2000-0.015-00-1012-NA,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad White 304.80mm x 254.00mm Rectangular,3.0W/m-K,"0.0150"" (0.381mm)",,,5020.79
GPHC3.0-0.125-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Blue 406.40mm x 203.20mm Rectangular Tacky - Both Sides,3.0W/m-K,"0.125"" (3.18mm)",,,5047.56
A18500-01,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad White 431.80mm x 431.80mm Rectangular,5W/m-K,"0.0100"" (0.254mm)",,,5185.85
62-03-1015-PAD80A,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Dark Gray 381.00mm x 254.00mm Rectangular Adhesive - One Side,8.3W/m-K,"0.0300"" (0.762mm)",,,5205.06
TG-A1250-150-150-3.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 150.00mm x 150.00mm Square,12.5W/m-K,"0.118"" (3.00mm)",,,5223.02
61-10-0909-G579,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Pink 228.60mm x 228.60mm Square,3.0W/m-K,"0.100"" (2.54mm)",,,5252.0
62-04-1015-PAD80A,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Dark Gray 381.00mm x 254.00mm Rectangular Adhesive - One Side,8.3W/m-K,"0.0400"" (1.016mm)",,,5275.31
GPHC5.0-0.100-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 406.40mm x 203.20mm Rectangular Tacky - Both Sides,5.0W/m-K,"0.100"" (2.54mm)",,,5445.09
A17752-05,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,7.5W/m-K,"0.0492"" (1.250mm)",,,5500.53
GP3000S30-0.125-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Blue 406.40mm x 203.20mm Rectangular Tacky - Both Sides,3.0W/m-K,"0.125"" (3.18mm)",,,5687.01
A17536-04,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Pink 457.20mm x 457.20mm Square Tacky - Both Sides,5.0W/m-K,"0.0400"" (1.016mm)",,,5957.28
A17752-06,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,7.5W/m-K,"0.0591"" (1.500mm)",,,6215.58
TG-A1780-150-150-0.8,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 150.00mm x 150.00mm Square,17.8W/m-K,"0.0310"" (0.787mm)",,,6304.73
8805-2-5,3M (TC),"Fans, Blowers, Thermal Management",Thermal Pad White 4.57m x 50.80mm Rectangular Adhesive - Both Sides,0.6W/m-K,"0.0049"" (0.125mm)",,,6308.19
61-15-0808-1671,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad White 203.20mm x 203.20mm Square,2.6W/m-K,"0.0150"" (0.381mm)",,,6347.88
62-15-0808-1671,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad White 203.20mm x 203.20mm Square,2.6W/m-K,"0.0150"" (0.381mm)",,,6547.59
TG-A1660-250-250-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 250.00mm x 250.00mm Square,16.6W/m-K,"0.0197"" (0.500mm)",,,6611.85
61-08-1015-PAD80G,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Dark Gray 381.00mm x 254.00mm Rectangular,8.3W/m-K,"0.0800"" (2.032mm)",,,7117.43
TG-A1250-310-310-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 310.00mm x 310.00mm Square,12.5W/m-K,"0.0394"" (1.000mm)",,,7742.7
TG-A1780-150-150-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 150.00mm x 150.00mm Square,17.8W/m-K,"0.0394"" (1.000mm)",,,7755.93
A17752-08,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 228.60mm x 228.60mm Square Tacky - Both Sides,7.5W/m-K,"0.0790"" (2.000mm)",,,7840.04
8810-0.75-36,3M (TC),"Fans, Blowers, Thermal Management",Thermal Pad White 32.92m x 19.05mm Rectangular Adhesive - Both Sides,0.6W/m-K,"0.0098"" (0.250mm)",,,8459.33
A18213-10,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 229.00mm x 229.00mm Square,10W/m-K,"0.0984"" (2.500mm)",,,8502.17
GPHC5.0-0.125-02-0816,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 406.40mm x 203.20mm Rectangular Tacky - Both Sides,5.0W/m-K,"0.125"" (3.18mm)",,,8570.52
62-08-1015-PAD80A,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Dark Gray 381.00mm x 254.00mm Rectangular Adhesive - One Side,8.3W/m-K,"0.0800"" (2.032mm)",,,8642.97
61-12-1015-PAD80G,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Dark Gray 381.00mm x 254.00mm Rectangular,8.3W/m-K,"0.120"" (3.05mm)",,,9741.06
2195669,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 406.40mm x 203.20mm Rectangular Tacky - Both Sides,6.0W/m-K,"0.0800"" (2.032mm)",,,10028.97
2214846,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 406.40mm x 203.20mm Rectangular Tacky - Both Sides,6.0W/m-K,"0.125"" (3.18mm)",,,10929.87
TG-A1780-150-150-1.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 150.00mm x 150.00mm Square,17.8W/m-K,"0.0591"" (1.500mm)",,,11312.6
TG-A1250-310-310-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 310.00mm x 310.00mm Square,12.5W/m-K,"0.0790"" (2.000mm)",,,14726.25
A17751-04,Laird Technologies - Thermal Materials,"Fans, Blowers, Thermal Management",Thermal Pad Gray 457.20mm x 457.20mm Square Tacky - Both Sides,7.5W/m-K,"0.0400"" (1.016mm)",,,18006.66
TG-A1250-5-5-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 5.00mm x 5.00mm Square,12.5W/m-K,"0.0394"" (1.000mm)",,,3.15
TG-A2200-10-10-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 10.00mm x 10.00mm Square Tacky - One Side,2.2W/m-K,"0.0197"" (0.500mm)",,,3.15
TG-A2200-5-5-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 5.00mm x 5.00mm Square Tacky - One Side,2.2W/m-K,"0.0790"" (2.000mm)",,,3.15
TG-A6200-5-5-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 5.00mm x 5.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0394"" (1.000mm)",,,3.15
TG-A2200-10-10-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 10.00mm x 10.00mm Square Tacky - One Side,2.2W/m-K,"0.0394"" (1.000mm)",,,3.15
TG-A6200-7.2-6.3-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 7.20mm x 6.30mm Rectangular Tacky - Both Sides,6.2W/m-K,"0.0394"" (1.000mm)",,,3.15
TG-A4500-10-10-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Purple 10.00mm x 10.00mm Square Tacky - Both Sides,4.5W/m-K,"0.0197"" (0.500mm)",,,3.15
TG-A6200-10-5-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 10.00mm x 5.00mm Rectangular Tacky - Both Sides,6.2W/m-K,"0.0197"" (0.500mm)",,,3.15
TG-A2200-10-10-1.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 10.00mm x 10.00mm Square Tacky - One Side,2.2W/m-K,"0.0591"" (1.500mm)",,,3.47
TG-A2200-10-10-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 10.00mm x 10.00mm Square Tacky - One Side,2.2W/m-K,"0.0790"" (2.000mm)",,,4.1
TG-A4500-10-10-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Purple 10.00mm x 10.00mm Square Tacky - Both Sides,4.5W/m-K,"0.0394"" (1.000mm)",,,4.1
Q3-0.005-00-51,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Black 17.45mm x 14.27mm Rectangular,2.0W/m-K,"0.0050"" (0.127mm)",,,4.41
DC0011/08-TG-A373F-0.25-2A,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 19.05mm x 12.70mm Rectangular Adhesive - Both Sides,1.4W/m-K,"0.0100"" (0.254mm)",,,4.73
Q3-0.005-00-104,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Black 25.40mm x 19.05mm Rectangular,2.0W/m-K,"0.0050"" (0.127mm)",,,5.04
TG-A6200-10-5-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 10.00mm x 5.00mm Rectangular Tacky - Both Sides,6.2W/m-K,"0.0790"" (2.000mm)",,,5.04
TG-A3500-10-10-3.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 10.00mm x 10.00mm Square Tacky - Both Sides,3.5W/m-K,"0.118"" (3.00mm)",,,5.67
TG-A6200-10-10-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 10.00mm x 10.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0394"" (1.000mm)",,,5.67
SP600-90,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Green 21.84mm x 18.80mm Rectangular,1.0W/m-K,"0.0090"" (0.229mm)",,,6.3
TG-A1250-10-10-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 10.00mm x 10.00mm Square,12.5W/m-K,"0.0197"" (0.500mm)",,,6.3
TG-A4500-10-10-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Purple 10.00mm x 10.00mm Square Tacky - Both Sides,4.5W/m-K,"0.0790"" (2.000mm)",,,6.3
TG-A2200-15-15-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 15.00mm x 15.00mm Square Tacky - One Side,2.2W/m-K,"0.0394"" (1.000mm)",,,6.3
TG-A6200-11-11-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 11.00mm x 11.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0394"" (1.000mm)",,,6.93
TG-T1000-11-11-0.25-5PT,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad White 11.00mm x 11.00mm Square Adhesive - Both Sides,1.0W/m-K,"0.0100"" (0.254mm)",,,6.93
TG-A3500-10-10-4.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 10.00mm x 10.00mm Square Tacky - Both Sides,3.5W/m-K,"0.157"" (4.00mm)",,,6.93
4662,Keystone Electronics,"Fans, Blowers, Thermal Management",Thermal Pad 40.49mm x 28.98mm Rhombus,-,"0.0030"" (0.076mm)",,,6.93
TG-T1000-10-10-0.25-5PT,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad White 10.00mm x 10.00mm Square Adhesive - Both Sides,1.0W/m-K,"0.0100"" (0.254mm)",,,6.93
TG-T1000-10.4-10.4-0.25-5PT,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad White 10.40mm x 10.40mm Square Adhesive - Both Sides,1.0W/m-K,"0.0100"" (0.254mm)",,,6.93
TG-A9000-10-10-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Pink 10.00mm x 10.00mm Square,9.0W/m-K,"0.0394"" (1.000mm)",,,7.25
TG-A1780-5-5-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 5.00mm x 5.00mm Square,17.8W/m-K,"0.0197"" (0.500mm)",,,7.25
SP600-54,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Green 19.05mm x 12.70mm Rectangular,1.0W/m-K,"0.0090"" (0.229mm)",,,7.56
TG-A3500-15-15-1.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 15.00mm x 15.00mm Square Tacky - Both Sides,3.5W/m-K,"0.0591"" (1.500mm)",,,7.56
TG-T1000-14-14-0.25-5PT,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad White 14.00mm x 14.00mm Square Adhesive - Both Sides,1.0W/m-K,"0.0100"" (0.254mm)",,,7.56
T62-30-30-0.13,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Black 30.00mm x 30.00mm Square,20W/m-K,"0.0050"" (0.127mm)",,,7.88
TG-A3500-10-10-5.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 10.00mm x 10.00mm Square Tacky - Both Sides,3.5W/m-K,"0.197"" (5.00mm)",,,8.19
TG-A6200-10-10-1.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 10.00mm x 10.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0591"" (1.500mm)",,,8.51
SP400-0.007-00-51,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 17.45mm x 14.27mm Rectangular,0.9W/m-K,"0.0070"" (0.178mm)",,,8.82
TG-A4500-10-10-3.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Purple 10.00mm x 10.00mm Square Tacky - Both Sides,4.5W/m-K,"0.118"" (3.00mm)",,,8.82
TG-A4500-15-15-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Purple 15.00mm x 15.00mm Square Tacky - Both Sides,4.5W/m-K,"0.0394"" (1.000mm)",,,8.82
TG-A3500-15-15-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Yellow 15.00mm x 15.00mm Square Tacky - Both Sides,3.5W/m-K,"0.0790"" (2.000mm)",,,9.14
